Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Cape Town"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"HIV; HIV Infections; HIV-1",TC.17,971,2.33,-1.9,2.01,96.386
"Rotavirus; Norovirus; Coronavirus",TC.403,36,0.32,-64.4,2.16,81.66
"Database Systems; Ontology; Query Processing",TC.143,36,0.13,-,1.03,86.881
"Chronic Renal Insufficiency; Renal Dialysis; Dialysis",TC.221,36,0.23,395.9,2.29,81.995
"Research; Technology; Industry",TC.637,35,0.34,44.0,0.94,70.281
"Lymphoma; Diffuse Large B-Cell Lymphoma; Patients",TC.62,34,0.13,25.7,1.11,90.428
"Students; Medical Students; Education",TC.43,34,0.08,34.1,0.73,91.901
"Kisspeptins; Gonadotropin-Releasing Hormone; Estradiol",TC.379,33,0.63,-38.8,1.53,58.701
"Foams; Energy Absorption; Crashworthiness",TC.803,33,0.39,-34.8,1.46,72.758
"Alzheimer Disease; Dementia; Amyloid",TC.32,33,0.08,150.6,1.12,98.795
"Pregnancy; Dissection; Coronary Vessels",TC.1416,32,1.22,-8.9,3.28,18.541
"Algorithms; Computer Vision; Models",TC.0,32,0.02,-71.5,0.96,99.465
"Sickle Cell Anemia; Beta-Thalassemia; Hemoglobins",TC.562,32,0.47,238.8,0.87,59.839
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,32,0.22,24.9,4.03,78.581
"Microfinance; Farmers; Cooperative",TC.532,31,0.35,44.0,1.2,57.764
"Alcohols; Reward; Cocaine",TC.132,31,0.18,-74.7,1.39,92.771
"Stroke; Gait; Rehabilitation",TC.48,31,0.08,3.9,1.03,96.787
"Collagen; Ehlers-Danlos Syndrome; Joint Instability",TC.1089,31,0.77,-40.4,2.14,52.544
"Child; Adolescent; Schools",TC.99,31,0.11,74.8,1.75,93.307
"Planning; Governance; Community",TC.577,30,0.37,-18.2,0.93,60.643
"Spinal Cord Injuries; Wheelchairs; Rehabilitation",TC.841,30,0.48,72.3,12.02,52.677
"Burns; Wounds And Injuries; Cicatrix",TC.545,30,0.42,6.3,0.74,48.327
"Psychoanalysis; Psychotherapy; Patients",TC.289,30,0.26,-13.2,0.73,25.77
"Chiroptera; Bat; Rodents",TC.296,30,0.39,35.4,1.5,59.036
"Nuclei; Neutrons; Reaction",TC.83,29,0.18,-31.4,0.83,75.167
"Students; Teaching; Education; E-Learning",TC.200,29,0.12,5.2,1.97,86.278
"Transgendered Persons; Female Homosexuality; Bisexuality",TC.580,29,0.28,29.4,1.38,74.9
"Conflict; Peace; War",TC.489,29,0.27,-3.8,1.97,51.874
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,29,0.1,276.9,1.07,95.783
"Primates; Pan Troglodytes; Behavior",TC.350,29,0.32,554.1,1.63,75.435
"Breast Neoplasms; Genetic Testing; Risk",TC.587,28,0.28,-58.8,0.78,80.991
"China; Asia; Chinese",TC.495,28,0.27,-62.6,1.43,42.503
"Macroalgae; Rhodophycota; Seaweed",TC.454,28,0.39,-16.8,1.07,74.23
"Food; Consumers; Farmers",TC.437,27,0.24,-39.2,1.73,73.628
"Solar Energy; Photovoltaic Cells; Solar Radiation",TC.340,27,0.14,15.6,1.2,94.511
"Space; Topological Space; Topology",TC.616,27,0.53,-23.4,0.82,7.564
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,27,0.08,43.8,8.81,92.303
"Renal Cell Carcinoma; Nephrectomy; Neoplasms",TC.341,27,0.22,139.5,7.93,70.147
"Heat Transfer; Nusselt Number; Natural Convection",TC.142,26,0.11,-83.0,1.33,96.72
"Literacy; Teacher; Student",TC.450,26,0.22,422.8,1.36,46.185
"Estimator; Models; Variable Selection",TC.74,26,0.09,214.0,0.79,83.601
"International Law; Human Rights; Responsibility",TC.363,26,0.21,16.1,0.75,33.802
"Learning; Students; Education",TC.557,26,0.29,-27.1,1.67,50.937
"Schools; Students; Disability",TC.394,26,0.28,24.9,0.81,51.272
"Mathematics; Students; Teacher",TC.391,26,0.21,-12.0,0.77,65.529
"Stroke; Patients; Cerebral Hemorrhage",TC.138,25,0.11,-23.2,1.05,89.157
"Drosophila; Insects; Drosophila Melanogaster",TC.342,25,0.33,14.9,1.12,72.222
"Systemic Lupus Erythematosus; Systemic Scleroderma; Patients",TC.162,25,0.15,94.7,1.18,84.003
"Hearing; Hearing Loss; Cochlear Implants",TC.66,25,0.1,162.8,1.36,87.483
"Epilepsy; Seizures; Electroencephalography",TC.73,25,0.1,52.6,1.41,90.763
"Ising Model; Models; Lattices",TC.400,25,0.35,247.1,1.91,47.925
"Echinococcosis; Schistosomiasis; Parasites",TC.109,25,0.15,113.2,0.85,79.92
"Water; Water Resources; Water Management",TC.527,25,0.24,81.4,1.76,79.585
"Tourism; Tourists; Destination",TC.239,24,0.13,-2.9,0.68,85.743
"Transplants; Tissue Donors; Kidney Transplantation",TC.98,24,0.12,106.7,0.92,83.333
"Eye; Optical Coherence Tomography; Macular Degeneration",TC.33,24,0.06,-28.6,0.87,94.578
"Detectors; High Energy Physics; Readout Systems",TC.560,24,0.3,153.9,3.62,45.716
"Microstructure; Steel; Austenite",TC.20,24,0.06,-41.7,0.93,97.323
"Vaccination; Vaccines; Immunization",TC.367,24,0.24,-82.6,1.24,70.482
"Personality; Borderline Personality Disorder; Personality Disorders",TC.689,24,0.35,-73.5,2.14,62.985
"Proton Exchange Membrane Fuel Cells (PEMFC); Electrocatalysts; Electrolytic Reduction",TC.229,24,0.12,31.4,1.66,96.988
"Kant; Theory; Epistemic",TC.152,23,0.1,-69.6,1.11,50.87
"Migration; Migrant; Immigrant",TC.419,23,0.19,-13.4,1.0,59.572
"Patients; Percutaneous Nephrostomy; Kidney Calculi",TC.249,23,0.18,76.6,1.01,61.379
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,23,0.04,30.8,0.7,99.799
"Offense; Police; Offender",TC.207,23,0.13,8.7,1.22,75.234
"Magnetic Fields; Ionospheres; Sunspots",TC.31,23,0.09,185.8,0.67,87.282
"Computer Crime; Network Security; Intrusion Detection",TC.218,22,0.07,-46.9,1.89,88.822
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,22,0.09,23.2,0.87,93.976
"Health; Socioeconomic Factors; Mortality",TC.537,22,0.22,119.1,1.35,75.301
"Library; Librarian; Information",TC.277,22,0.19,53.0,1.37,49.933
"Agents; Game Theory; Models",TC.173,22,0.1,132.7,1.06,81.058
"Heart Failure; Patients; Brain Natriuretic Peptide",TC.300,22,0.18,17.6,2.7,84.739
"Blood; Blood Transfusion; Patients",TC.272,22,0.17,-74.3,0.97,74.297
"Mesenchymal Stromal Cells; Stem Cells; Induced Pluripotent Stem Cells",TC.163,21,0.07,-83.1,2.03,97.657
"Language; Reading; Semantics",TC.88,21,0.09,53.4,1.13,89.491
"Testosterone; Face; Behavior",TC.928,21,0.36,-62.6,1.51,59.17
"Hymenoptera; Galls; Braconidae",TC.944,21,0.64,175.3,0.47,24.632
"Health; Costs And Cost Analysis; Neoplasms",TC.584,21,0.19,72.4,5.5,72.892
"Women; Erectile Dysfunction; Testosterone",TC.194,21,0.16,-82.5,0.95,77.443
"Water Distribution Systems; Water Supply Systems; Pipelines",TC.943,21,0.34,20.8,2.28,50.736
"Genome-Wide Association Study; Single Nucleotide Polymorphism; Genes",TC.592,20,0.2,59.7,0.72,84.203
"Data Envelopment Analysis; Banks; Efficiency",TC.384,20,0.15,315.8,1.69,79.25
"Huntington Disease; Myotonic Dystrophy; Spinocerebellar Ataxias",TC.794,20,0.32,-66.5,0.91,65.73
"Construction; Construction Industry; Project Management",TC.295,20,0.12,396.3,0.49,85.007
"Students; Education; Teaching",TC.542,20,0.16,-55.7,1.37,74.833
"Pharmacists; Pharmaceutical Preparations; Pharmacy",TC.199,20,0.1,-,1.32,79.183
"Arabidopsis; Plants; Genes",TC.11,20,0.04,71.6,1.67,98.862
"Teacher; School; Education",TC.150,20,0.1,-8.9,0.98,74.967
"Emergencies; Patients; Hospitals",TC.675,19,0.23,0.0,0.75,57.965
"Merkel Cell Carcinoma; Polyomavirus; BK Virus",TC.1206,19,0.65,-44.9,1.36,32.865
"Morals; Research; Behavior",TC.267,19,0.1,-100.0,1.1,88.019
"Pericarditis; Pericardial Effusion; Constrictive Pericarditis",TC.1459,19,0.99,-53.9,3.2,2.744
"Child; Geography; Research",TC.596,19,0.2,76.0,1.54,49.398
"Gambling; Internet; Students",TC.555,19,0.15,-78.7,1.13,87.751
"Optimization; Algorithms; Evolutionary Algorithms",TC.259,19,0.1,-26.0,0.61,82.195
"Finite Group; Subgroup; Group",TC.855,19,0.42,417.7,1.45,5.087
"Ecosystem Services; Willingness To Pay; Valuation",TC.955,19,0.3,4.6,1.38,76.64
"Colorectal Neoplasms; Rectal Neoplasms; Patients",TC.93,19,0.07,-60.6,0.96,92.035
"Pollinators; Flowers; Pollination",TC.1035,19,0.58,80.4,1.03,41.7
"Vehicles; Accident Prevention; Highway Accidents",TC.315,19,0.13,862.9,0.59,73.695
"Sepsis; Acute Kidney Injury; Patients",TC.251,19,0.1,95.4,1.3,88.153
"Students; Teacher; Learning",TC.337,19,0.14,623.0,0.56,70.348
"Bone And Bones; Osteoporosis; Bone Density",TC.45,19,0.07,6.1,0.67,92.972
"Buckling; Vibration Analysis; Functionally Graded Materials",TC.240,18,0.13,-67.3,0.71,81.861
"Pancreatic Neoplasms; Pancreatitis; Patients",TC.51,18,0.06,-38.1,1.2,89.893
"Urinary Bladder; Overactive Urinary Bladder; Women",TC.117,18,0.09,-,0.64,80.054
"Piles; Soils; Geotechnical Engineering",TC.64,18,0.05,57.2,0.49,87.684
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,18,0.03,-23.3,0.56,96.519
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,18,0.06,300.4,0.74,93.106
"Glaciers; Holocene; Glacial Geology",TC.103,18,0.11,-36.8,1.63,91.098
"Victorian; Fiction; Women",TC.728,18,0.27,-,0.28,4.552
"High Pressure; Electronic Properties; Thermal Expansion",TC.581,18,0.26,-7.9,0.86,65.261
"Cytomegalovirus; Cytomegalovirus Infections; Herpes Zoster",TC.225,18,0.15,-56.1,1.63,72.557
"Poverty; Inequality; Development",TC.1107,18,0.37,51.8,2.16,31.66
"Science; Risks; Nanotechnology",TC.550,18,0.19,-,23.15,71.687
"Publications; Periodicals As Topic; Research",TC.275,18,0.09,249.3,0.93,84.27
"Cells; Drosophila; Neoplasms",TC.110,18,0.08,43.3,1.04,94.645
"Distillation; Optimization; Distillation Columns",TC.427,18,0.27,137.1,0.98,57.43
"Oxytocin; Hydrocortisone; Anxiety",TC.432,18,0.21,-65.4,1.48,82.664
"Pesticides; Organophosphates; Insecticides",TC.649,18,0.41,5.9,0.59,48.059
"Renin-Angiotensin System; Peptidyl-Dipeptidase A; Angiotensins",TC.481,17,0.34,-100.0,1.71,53.012
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,17,0.05,57.4,1.37,92.905
"India; Indian; Politics",TC.475,17,0.16,-49.0,2.55,34.137
"Magnetic Resonance Imaging; Brain; Diffusion",TC.181,17,0.08,406.2,1.92,93.373
"Pheochromocytoma; Paraganglioma; Hydrocortisone",TC.286,17,0.15,51.8,0.8,69.344
"Depression; Bipolar Disorder; Major Depressive Disorder",TC.175,17,0.11,59.9,1.65,88.688
"Watersheds; Soil Erosion; Catchments",TC.476,17,0.21,436.5,1.43,74.163
"Women; Cesarean Section; Parturition",TC.397,17,0.14,-65.6,0.87,67.202
"Asteraceae; Apiaceae; New Species",TC.875,17,0.47,106.4,0.51,33.668
"Bryopsida; Mosses And Liverworts; Bryophyte",TC.1111,17,0.95,112.4,0.99,7.831
"Software Engineering; Models; Software Design",TC.49,16,0.04,48.3,0.82,90.964
"Soil; Biochar; Soil Organic Carbon",TC.35,16,0.05,-23.7,2.39,98.059
"Cactaceae; Opuntia; Opuntia Ficus-Indica",TC.1422,16,0.79,64.6,1.32,22.49
"Lizards; Turtles; Frogs",TC.126,16,0.11,-69.5,0.78,76.506
"Steroids; Athletes; Sports",TC.1066,16,0.51,319.7,1.61,43.039
"Stevens-Johnson Syndrome; Toxic Epidermal Necrolysis; Pharmaceutical Preparations",TC.897,16,0.31,90.7,0.87,36.747
"Hernia; Herniorrhaphy; Laparoscopy",TC.395,16,0.15,201.1,1.1,56.158
"Intubation; Airway Management; Intratracheal Intubation",TC.470,16,0.18,-8.1,0.42,50.201
"Roman; Rome; Ancient",TC.114,16,0.12,-19.7,0.08,11.178
"Emigrants And Immigrants; Hispanic Americans; Acculturation",TC.646,16,0.19,-17.5,6.01,61.513
"Schizophrenia; Psychotic Disorders; Antipsychotic Agents",TC.80,16,0.07,175.3,1.35,92.236
"Nurses; Nursing; Students",TC.212,16,0.1,204.9,0.78,68.273
"Justice; Theory; Human Rights",TC.570,15,0.15,116.6,1.25,39.759
"Fossils; Cretaceous; Basin",TC.486,15,0.44,34.8,0.92,35.007
"Algebra; Category; Module",TC.38,15,0.06,26.6,0.75,56.56
"Synthesis (Chemical); Derivatives; Pyridines",TC.67,15,0.06,121.4,1.01,92.704
"Potential; Parity; Equations",TC.927,15,0.35,36.3,2.87,38.889
"Infectious Arthritis; Osteomyelitis; Infection",TC.1409,15,0.8,83.1,1.18,5.221
"Semantics; Models; Recommender Systems",TC.37,15,0.03,-,0.32,96.319
"Exercise; Hot Temperature; Athletes",TC.756,15,0.26,-69.3,1.56,56.894
"Genes; Gene Regulatory Networks; Gene Expression",TC.362,15,0.09,0.1,1.12,90.495
"Metagenome; Probiotics; Bacteria",TC.215,15,0.06,59.6,4.22,98.661
"Premature Infant; Infant (Newborn); Neonatal Intensive Care Units",TC.299,15,0.12,-78.3,1.48,77.309
"Delivery Of Health Care; Patients; Hospitals",TC.160,14,0.07,-30.4,1.83,86.078
"Pneumothorax; Lung; Pleural Effusion",TC.693,14,0.22,95.3,0.94,31.191
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,14,0.05,-46.2,0.78,97.59
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,14,0.07,-,1.08,89.625
"PPAR Gamma; AMP-Activated Protein Kinases; Lipids",TC.434,14,0.16,-100.0,1.11,80.723
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,14,0.05,160.2,0.62,93.641
"Breast Neoplasms; Early Detection Of Cancer; Women",TC.595,14,0.15,-61.8,0.97,75.033
"Robots; Robotics; Manipulators",TC.101,14,0.05,-38.1,0.79,88.956
"Leishmania; Visceral Leishmaniasis; Trypanosoma Cruzi",TC.261,14,0.13,42.8,1.46,77.376
"Attention Deficit Disorder With Hyperactivity; Child; Methylphenidate",TC.721,14,0.21,-100.0,0.44,67.805
"Artificial Respiration; Adult Respiratory Distress Syndrome; Noninvasive Ventilation",TC.382,14,0.14,164.1,0.48,71.218
"Student; College; Education",TC.708,14,0.19,-42.9,0.52,39.692
"Parasites; Fishes; Myxozoa",TC.343,14,0.22,-3.5,0.56,45.85
"Public Health; Residence Characteristics; Evaluation Studies As Topic",TC.745,14,0.22,210.6,0.28,42.905
"Squamous Cell Carcinoma; Head And Neck Neoplasms; Carcinoma",TC.264,14,0.1,18.6,3.0,76.841
"Acute Myeloid Leukemia; Patients; Precursor Cell Lymphoblastic Leukemia-Lymphoma",TC.134,14,0.06,-7.4,1.25,92.436
"Electronic Health Records; Medical Informatics; Delivery Of Health Care",TC.346,14,0.11,-2.3,1.75,71.419
"Infertility; Twins; Assisted Reproductive Techniques",TC.625,13,0.18,294.9,6.95,52.142
"Crystals; Crystal Growth; Crystallization",TC.720,13,0.2,-22.0,0.74,46.921
"Heart Arrest; Cardiopulmonary Resuscitation; Out-Of-Hospital Cardiac Arrest",TC.496,13,0.13,64.4,0.78,70.884
"Patients; Psychiatry; Anxiety",TC.925,13,0.3,-45.0,1.18,34.94
"Costs; Internet; Competition",TC.564,13,0.18,-52.7,1.04,40.495
"Tree Ring; Trees; Growth Rings",TC.370,13,0.14,-60.9,2.38,85.676
"Analgesia; Nerve Block; Bupivacaine",TC.305,13,0.11,155.3,0.96,64.324
"Hepatocellular Carcinoma; Liver; Neoplasms",TC.182,13,0.07,-37.6,0.29,86.011
"Mitochondrial Genome; Transfer RNA; Genes",TC.650,13,0.16,86.3,3.7,69.143
"DNA; Microsatellite Repeats; Population",TC.604,13,0.18,-,3.08,68.608
"Spine; Patients; Low Back Pain",TC.23,13,0.03,-45.6,0.83,93.039
"Asteroids; Comets; Mars",TC.133,13,0.09,155.6,1.1,86.747
"Cyclone Separators; Storms; Vortex Flow",TC.1452,13,0.54,-58.6,0.76,21.62
"Clinical Trials As Topic; Therapeutics; Methods",TC.883,12,0.2,-76.8,1.27,55.89
"Adolescent; Pediatrics; Schools",TC.1224,12,0.33,-,1.3,39.558
"Education; Student; University",TC.666,12,0.17,-22.1,1.0,45.649
"Stormwater; Storm Sewers; Rainwater",TC.876,12,0.19,462.7,0.89,67.403
"Martin Heidegger; Nietzsche; Phenomenology",TC.546,12,0.11,105.2,0.57,22.222
"Decision Making; Fuzzy Sets; Models",TC.211,12,0.06,-2.5,0.83,88.621
"Research; Data; Information Dissemination",TC.1257,12,0.22,-,1.12,66.867
"Patents; Copyright; Intellectual Property",TC.586,12,0.17,-62.5,0.09,28.715
"Fish; Brazil; Siluriformes",TC.730,12,0.25,-65.4,0.88,43.641
"Shakespeare; Early Modern; Theatre",TC.755,12,0.23,18.0,0.37,1.941
"Foreign Bodies; Eating; Child",TC.1202,12,0.34,-47.3,0.68,6.627
"Fiber Optic Networks; Quality Of Service; Network Architecture",TC.95,12,0.04,24.8,0.45,87.216
"Rhinitis; Sinusitis; Patients",TC.336,12,0.12,-62.7,1.04,57.028
"Medicinal Plants; Plants; Ethnobotany",TC.565,12,0.16,4.7,1.07,58.166
"Melatonin; Circadian Clocks; Circadian Rhythm",TC.396,12,0.15,-30.3,1.6,79.451
"Knowledge Management; Industry; Research",TC.325,12,0.1,96.1,0.46,67.47
"Cyperaceae; Carex; Cyperus",TC.1433,12,0.91,5.4,0.98,7.697
"Cinema; African; Race",TC.442,12,0.15,322.4,2.28,19.076
"Fires; Forests; Wildfires",TC.278,12,0.11,-80.4,1.43,77.778
"Wounds And Injuries; Pressure Ulcer; Bandages",TC.372,12,0.11,-100.0,0.89,66.667
"Myasthenia Gravis; Thymoma; Encephalitis",TC.810,12,0.19,-,3.12,51.205
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,12,0.05,-,0.65,91.165
"Periodicals As Topic; Open Access; Library",TC.1015,12,0.21,290.0,0.52,41.432
"Eating Disorders; Anorexia Nervosa; Body Image",TC.364,11,0.09,-,1.06,86.145
"Attention; Brain; Learning",TC.10,11,0.02,383.2,1.09,98.193
"Endometriosis; Ovarian Neoplasms; Endometrial Neoplasms",TC.60,11,0.04,-100.0,0.91,90.361
"Data Storage Equipment; Program Processors; Applications",TC.92,11,0.04,-65.0,0.24,81.928
"Secondary Batteries; Electric Batteries; Lithium Alloys",TC.30,11,0.01,-46.2,3.47,100.0
"Libraries; Metadata; Ontology",TC.877,11,0.2,-25.0,1.23,24.498
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,11,0.03,131.9,1.27,99.398
"Dune; Wind Erosion; Sand",TC.1031,11,0.38,-75.5,1.48,32.932
"Adaptive Optics; Telescopes; Wavefronts",TC.710,11,0.17,-38.3,0.74,31.794
