Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Nairobi"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"HIV; HIV Infections; HIV-1",TC.17,198,0.48,20.5,1.28,96.386
"Rice; Corn; Wheat",TC.339,10,0.1,147.8,0.45,71.352
"Botswana; Rock Art; Southern Africa",TC.1190,10,0.37,-,0.46,14.926
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,9,0.01,-,0.23,97.523
"Neoplasms; Patients; Palliative Care",TC.77,9,0.03,-17.1,0.51,95.047
"Breads; Starch; Glutens",TC.169,9,0.05,-21.1,0.42,91.299
"Leishmania; Visceral Leishmaniasis; Trypanosoma Cruzi",TC.261,9,0.08,-,0.85,77.376
"Students; Medical Students; Education",TC.43,9,0.02,130.0,0.88,91.901
"Monetary Policy; Economic Growth; Exports",TC.21,9,0.02,-,0.63,90.094
"Toxoplasma; Toxoplasmosis; Neospora",TC.743,9,0.17,-,0.48,54.418
"Oral Health; Periodontitis; Dental Caries",TC.125,9,0.04,-37.7,0.43,84.605
"Parasites; Fishes; Myxozoa",TC.343,8,0.13,-,0.63,45.85
"Soil; Biochar; Soil Organic Carbon",TC.35,8,0.02,1.7,0.9,98.059
"Broiler Chickens; Laying Hens; Swine",TC.202,8,0.07,-100.0,0.32,71.151
"Cannabinoids; Cannabis; Endocannabinoids",TC.318,8,0.06,-,0.71,88.42
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,8,0.02,-10.9,2.13,98.26
"Remote Sensing; Image Classification; Satellite Imagery",TC.153,8,0.03,-82.3,0.61,95.114
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,7,0.01,-,1.89,99.13
"Geographic Information Systems; Maps; Models",TC.515,7,0.08,-77.0,0.29,55.355
"Diptera; Myiasis; Larva",TC.1195,7,0.24,130.4,0.67,40.428
"Industry; Innovation; Entrepreneurship",TC.24,7,0.02,-,0.62,97.256
"Dairy Cows; Cows; Mastitis",TC.136,7,0.04,-54.6,0.43,80.857
"Disinfection; Coagulation; Potable Water",TC.575,7,0.1,-53.5,0.82,74.766
"Hypertension; Blood Pressure; Patients",TC.157,7,0.04,-,1.32,82.932
"Formicidae; Hymenoptera; Ant",TC.260,7,0.06,-20.1,0.27,82.329
"Science; Risks; Nanotechnology",TC.550,7,0.07,194.2,7.25,71.687
"Vehicles; Accident Prevention; Highway Accidents",TC.315,7,0.05,-100.0,0.67,73.695
"Iron; Anemia; Erythropoietin",TC.238,7,0.05,-51.4,3.91,83.133
"Food; Consumers; Farmers",TC.437,7,0.06,127.9,1.44,73.628
"Boron; Molybdenum; Camels",TC.1314,7,0.43,154.9,0.35,6.225
"Breast Feeding; Mothers; Infant",TC.552,7,0.07,-5.1,1.78,64.458
"Nematoda; Root-Knot Nematodes; Meloidogyne Incognita",TC.709,7,0.18,-58.3,0.79,40.629
"Chiroptera; Bat; Rodents",TC.296,7,0.09,-,0.75,59.036
"Vaccination; Vaccines; Immunization",TC.367,7,0.07,-,1.43,70.482
"Acids; Triterpenes; Oleanolic Acid",TC.765,7,0.1,123.6,0.53,64.056
"Urotensins; Gills; Fishes",TC.1046,6,0.3,-100.0,0.74,19.277
"Industry; Information Systems; Research",TC.254,6,0.04,-46.6,0.29,76.238
"Rangelands; Grasslands; Savannas",TC.767,6,0.12,-,0.53,61.245
"Premature Infant; Infant (Newborn); Neonatal Intensive Care Units",TC.299,6,0.05,-,1.24,77.309
"Obesity; Motor Activity; Child",TC.18,6,0.01,145.5,0.27,99.197
"Antioxidants; Rats; Silymarin",TC.540,6,0.07,-100.0,0.91,69.277
"Periodicals As Topic; Open Access; Library",TC.1015,6,0.11,-100.0,3.16,41.432
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,6,0.02,-10.3,0.74,97.59
"Poverty; Inequality; Development",TC.1107,6,0.12,-8.9,0.92,31.66
"Contraception; Women; Contraceptive Agents",TC.409,6,0.07,-0.6,3.09,60.776
"Limonins; Meliaceae; Azadirachta",TC.1336,6,0.28,30.5,0.93,20.281
"Baculoviridae; Entomopathogenic Nematodes; Nucleopolyhedrovirus",TC.679,6,0.14,-,1.18,41.098
"Models; Social Networking (Online); Algorithms",TC.358,6,0.02,-100.0,0.69,89.023
"Industry; Research; Marketing",TC.36,6,0.02,271.3,0.22,96.586
"Social Work; Social Worker; Education",TC.698,6,0.11,-,0.91,28.581
"Melanesia; Anthropology; Australia",TC.645,5,0.08,134.7,3.09,26.439
"Heart Diseases; Patients; Congenital Heart Defects",TC.266,5,0.03,-65.8,0.57,64.726
"Arabidopsis; Plants; Genes",TC.11,5,0.01,-,0.61,98.862
"Watersheds; Soil Erosion; Catchments",TC.476,5,0.06,-10.6,1.2,74.163
"Health; Costs And Cost Analysis; Neoplasms",TC.584,5,0.05,-,0.71,72.892
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,5,0.02,-,0.75,92.905
"Eye; Optical Coherence Tomography; Macular Degeneration",TC.33,5,0.01,-71.4,0.51,94.578
"Education; Wages; Inequality",TC.657,5,0.06,-18.8,0.39,59.973
"T-Lymphocytes; Neoplasms; Immunotherapy",TC.12,5,0.01,-29.7,0.43,99.665
"Post-Traumatic Stress Disorders; Wounds And Injuries; Disasters",TC.283,5,0.03,62.1,3.44,83.936
"Rumen; Dairy Cows; Rumen Fermentation",TC.168,5,0.04,-8.1,0.34,76.305
"Patients; Percutaneous Nephrostomy; Kidney Calculi",TC.249,5,0.04,112.0,0.77,61.379
"Telemedicine; Technology; Patients",TC.851,5,0.08,-100.0,1.52,50.535
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,5,0.02,-1.1,0.75,95.448
"Helicobacter Pylori; Gastroesophageal Reflux; Helicobacter Infections",TC.90,5,0.03,-100.0,0.32,85.944
"Industry; Six Sigma; Quality Management",TC.589,5,0.07,-100.0,0.81,57.697
"Tooth; Bone And Bones; Dentin",TC.14,5,0.01,-7.4,0.14,94.378
"GRACE; Gravitation; Geodetic Satellites",TC.797,5,0.09,-100.0,0.41,44.311
"Particulate Matter; Air Pollution; Air Pollutants",TC.431,5,0.04,-,0.99,89.09
"Magnetic Fields; Ionospheres; Sunspots",TC.31,5,0.02,-100.0,1.08,87.282
"Lung; Surface-Active Agents; Pulmonary Alveolar Proteinosis",TC.1011,4,0.13,1.8,1.19,41.365
"Publications; Periodicals As Topic; Research",TC.275,4,0.02,-,0.36,84.27
"Schizophrenia; Psychotic Disorders; Antipsychotic Agents",TC.80,4,0.02,-100.0,0.45,92.236
"Volatile Oils; Antioxidants; Oils",TC.366,4,0.03,-,0.61,85.542
"Diterpenes; Stevia; Euphorbia",TC.1219,4,0.12,132.2,0.63,39.491
"Teacher; School; Education",TC.150,4,0.02,-8.9,0.39,74.967
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,4,0.0,-,0.3,99.933
"Estimator; Models; Variable Selection",TC.74,4,0.01,-100.0,0.46,83.601
"Design; Human Computer Interaction; Augmented Reality",TC.231,4,0.02,-100.0,0.26,82.865
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,4,0.03,-,1.24,78.581
"X Rays; Fluorescence; Shielding",TC.1025,4,0.11,-8.6,0.79,35.207
"Library; Librarian; Information",TC.277,4,0.03,-,2.14,49.933
"Violence; Women; Child",TC.310,4,0.03,-100.0,0.09,78.782
"Fisheries; Sharks; Fish",TC.63,4,0.02,-,1.15,90.228
"Landslides; Debris Flow; Slope Stability",TC.553,4,0.04,20.0,0.72,69.076
"Public Health; Residence Characteristics; Evaluation Studies As Topic",TC.745,4,0.06,3.5,0.49,42.905
"Alcohols; Cannabis; Drinking",TC.174,4,0.02,-100.0,0.29,84.94
"Breast Neoplasms; Patients; Mammography",TC.89,4,0.02,-50.9,0.13,90.897
"Chronic Renal Insufficiency; Renal Dialysis; Dialysis",TC.221,4,0.03,-,0.62,81.995
"International Law; Human Rights; Responsibility",TC.363,4,0.03,-100.0,0.45,33.802
"Hearing; Hearing Loss; Cochlear Implants",TC.66,4,0.02,-,1.97,87.483
"Party; Election; Voter",TC.172,4,0.02,-,8.05,78.179
"Life Cycle; Sustainable Development; Sustainability",TC.812,4,0.05,-100.0,0.78,84.873
"Pregnancy; Pre-Eclampsia; Women",TC.85,4,0.02,-6.5,0.93,90.696
"Hydrocephalus; Cerebrospinal Fluid; Patients",TC.416,4,0.05,-,0.45,45.515
"Smoking; Tobacco Products; Smoking Cessation",TC.205,4,0.02,-,0.42,89.826
"Groundwater; Groundwater Resources; Aquifers",TC.502,4,0.05,-,0.58,62.383
"Beans; Fabaceae; Genotype",TC.1109,4,0.14,-,0.08,27.376
"Fossils; Pleistocene; Paleolithic",TC.127,4,0.03,-,1.05,80.522
"Semantics; Models; Recommender Systems",TC.37,3,0.01,-100.0,0.08,96.319
"Pharmaceutical Preparations; Generic Drugs; Commerce",TC.924,3,0.05,-,1.03,44.98
"Network Management; Models; Applications",TC.1036,3,0.1,-,1.47,12.048
"Cholesteatoma; Ear; Otitis Media",TC.681,3,0.06,-100.0,0.95,22.289
"Systemic Lupus Erythematosus; Systemic Scleroderma; Patients",TC.162,3,0.02,-,0.33,84.003
"Nurses; Nursing; Students",TC.212,3,0.02,-100.0,1.59,68.273
"Complementary Therapies; Homeopathy; Patients",TC.474,3,0.04,-,0.34,52.276
"Tea; Polyphenols; Anthocyanins",TC.294,3,0.02,-,0.19,94.11
"Students; Teacher; Learning",TC.337,3,0.02,-100.0,0.28,70.348
"Odontogenic Tumors; Ameloblastoma; Odontogenic Cysts",TC.1312,3,0.1,-100.0,3.02,9.036
"Data Envelopment Analysis; Banks; Efficiency",TC.384,3,0.02,-100.0,0.51,79.25
"Chalcogenides; Phase Change Memory; Germanium",TC.946,3,0.07,-,0.38,49.331
"Renal Cell Carcinoma; Nephrectomy; Neoplasms",TC.341,3,0.02,-100.0,0.57,70.147
"Candida; Infection; Candida Albicans",TC.115,3,0.02,-6.9,0.33,85.207
"Pharmaceutical Preparations; Methods; Pharmacokinetics",TC.1136,3,0.08,-,1.25,43.775
"Mangrove; Wetlands; Seagrass",TC.585,3,0.04,-100.0,0.05,72.691
"Endometriosis; Ovarian Neoplasms; Endometrial Neoplasms",TC.60,3,0.01,-,0.18,90.361
"Acute Myeloid Leukemia; Patients; Precursor Cell Lymphoblastic Leukemia-Lymphoma",TC.134,3,0.01,-100.0,0.49,92.436
"Delivery Of Health Care; Needlestick Injuries; Infection",TC.906,3,0.07,-,0.33,29.384
"Dioscorea; Cassava; Sweet Potatoes",TC.1424,3,0.16,-,0.33,11.044
"Solar Energy; Photovoltaic Cells; Solar Radiation",TC.340,3,0.02,-100.0,0.68,94.511
"Suicide; Suicidal Ideation; Wounds And Injuries",TC.531,3,0.03,-100.0,0.72,73.829
"Mycorrhizal Fungi; Basidiomycota; Fungus",TC.479,3,0.04,-100.0,0.27,68.005
"Location; Algorithms; Wi-Fi",TC.643,3,0.02,-100.0,0.61,70.683
"China; Asia; Chinese",TC.495,3,0.03,-100.0,0.34,42.503
"Phytophthora; Trichoderma; Phytophthora Infestans",TC.425,3,0.04,-,0.1,62.918
"Environmental Impact Assessment; Environmental Assessment; Strategic Environmental Assessment",TC.1267,3,0.08,-42.7,0.27,36.412
"Construction; Construction Industry; Project Management",TC.295,3,0.02,-100.0,0.13,85.007
"Anesthesia; Dogs; Cats",TC.1135,3,0.1,-100.0,0.35,18.675
"Ecosystem Services; Willingness To Pay; Valuation",TC.955,3,0.05,-,1.21,76.64
"Forgiveness; Communication; Students",TC.768,3,0.05,-,4.18,44.913
"Forests; Landscapes; Plants",TC.151,3,0.01,-,4.74,94.712
"Raman Spectroscopy; Fluid Inclusion; Sapphire",TC.1320,3,0.18,-11.0,1.98,10.843
"Clostridium Difficile; Clostridium Infections; Anthrax",TC.610,3,0.04,7.8,1.22,66.934
"Health; Disease Outbreaks; Diseases",TC.1345,3,0.08,-,0.4,39.29
"Chronic Obstructive Pulmonary Disease; Asthma; Patients",TC.39,3,0.01,-,1.13,94.177
"Naphthoquinones; Plants; Apoptosis",TC.1291,3,0.12,-100.0,0.4,36.479
"Wheat; Triticum; Triticum Aestivum",TC.617,3,0.06,-100.0,0.37,58.501
"Jatropha; Jatropha Curcas; Brazil",TC.886,3,0.05,-49.4,0.29,31.526
"Law; Court; Human Rights",TC.757,3,0.05,-100.0,0.14,22.959
"Mercury; Mercury (Element); Methylmercury",TC.835,3,0.06,-,0.47,65.863
"Earthworms; Collembola; Soil Fauna",TC.1050,3,0.09,-,0.74,44.511
"Emigrants And Immigrants; Hispanic Americans; Acculturation",TC.646,3,0.04,-,1.39,61.513
"Electronic Health Records; Medical Informatics; Delivery Of Health Care",TC.346,3,0.02,-,0.46,71.419
"Family; Woman; Marriage",TC.500,3,0.04,-,0.22,47.992
"Volunteers; Nonprofit; Charity",TC.1034,3,0.06,-100.0,0.08,32.731
"Adsorption; Adsorbents; Activated Carbon",TC.191,3,0.01,-100.0,2.07,97.189
"Tourism; Tourists; Destination",TC.239,3,0.02,-,0.49,85.743
"Cellulose; Lignin; Cellulases",TC.119,3,0.01,-,1.41,98.126
"Benthic Foraminifera; Planktonic Foraminifera; Paleoceanography",TC.773,3,0.07,96.1,1.25,59.371
"Fatty Liver; Liver Diseases; Alcoholic Fatty Liver",TC.1042,3,0.04,-,0.83,77.175
"Global Positioning System; Satellites; Navigation",TC.712,2,0.02,-100.0,0.0,51.673
"Gastrointestinal Stromal Tumors; Neoplasms; Hemorrhage",TC.528,2,0.02,3.2,0.0,47.59
"Soils; Agricultural Machinery; Excavators",TC.910,2,0.05,-,0.0,30.857
"Knowledge Management; Industry; Research",TC.325,2,0.02,-,0.0,67.47
"Breast Neoplasms; Early Detection Of Cancer; Women",TC.595,2,0.02,-,0.5,75.033
"Steganography; Watermarking; Digital Watermarking",TC.525,2,0.02,11.7,0.79,56.693
"Carotenoids; Vitamin A; Crocus",TC.747,2,0.04,-,2.39,64.926
"Mulching; Irrigation; Corn",TC.636,2,0.03,-,0.44,51.071
"Juveniles; Oreochromis Niloticus; Litopenaeus Vannamei",TC.368,2,0.02,-,0.09,67.068
"Cells; Drosophila; Neoplasms",TC.110,2,0.01,-,2.03,94.645
"Coronary Vessels; Pulmonary Artery; Fistula",TC.1225,2,0.06,-,0.18,4.016
"China; Chinese; Hong Kong",TC.471,2,0.02,-,1.42,48.862
"Nucleosides; Oligonucleotides; DNA",TC.414,2,0.04,-100.0,0.78,63.119
"Sows; Swine; Animal Welfare",TC.1043,2,0.05,-,0.27,43.106
"Solid Oxide Fuel Cells (SOFC); Yttria Stabilized Zirconia; Perovskite",TC.316,2,0.01,-0.5,0.51,91.499
"Research; Science; Periodicals As Topic",TC.932,2,0.03,-100.0,0.67,73.427
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,2,0.01,-,0.56,95.783
"Metabolomics; Metabolome; Mass Spectrometry",TC.858,2,0.03,-,0.53,84.538
"Micelles; Surface Active Agents; Critical Micelle Concentration",TC.406,2,0.03,-,0.38,67.871
"Mites; Acari; Oribatida",TC.719,2,0.06,-,0.21,23.829
"Infectious Arthritis; Osteomyelitis; Infection",TC.1409,2,0.11,-,0.47,5.221
"Delivery Of Health Care; Patients; Hospitals",TC.160,2,0.01,-,0.42,86.078
"Bankruptcy; Law; Banks",TC.820,2,0.04,-,0.0,17.604
"Direction Of Arrival; Estimation; Beamforming",TC.822,2,0.03,-,0.25,36.145
"Hernia; Herniorrhaphy; Laparoscopy",TC.395,2,0.02,-,0.27,56.158
"Sepsis; Acute Kidney Injury; Patients",TC.251,2,0.01,-,1.49,88.153
"Adenoviridae; Neoplasms; Dependovirus",TC.477,2,0.03,-,0.47,67.135
"Early Modern; Eighteenth Century; Venice",TC.1033,2,0.05,-,2.52,3.146
"Language; Sign; Hearing",TC.1179,2,0.06,-,0.15,16.801
"Genome; Bacterial Typing Techniques; Vitamin K 2",TC.456,2,0.02,-,1.5,80.656
"Roofs; Heat Island; Buildings",TC.622,2,0.02,-100.0,0.1,84.404
"Dogs; Cats; Neoplasms",TC.326,2,0.02,-,0.26,45.181
"Spirituality; Religion; Life",TC.576,2,0.03,-,0.32,44.645
"Operator; Composition Operator; Toeplitz Operator",TC.583,2,0.03,-100.0,0.0,8.568
"Opioid Analgesics; Mu Opioid Receptors; Opioid Receptors",TC.669,2,0.07,-,0.57,37.149
"Peptides; Antimicrobial Cationic Peptides; Beta-Defensins",TC.1071,2,0.04,-,0.31,71.754
"WTO; Dispute Settlements; EU",TC.1096,2,0.06,-100.0,0.4,15.395
"Magnesium Alloys; Alloys; Aluminum Alloys",TC.106,2,0.01,-,0.0,91.834
"Toxicology; Pharmaceutical Preparations; Risk Assessment",TC.970,2,0.05,-100.0,2.3,53.882
"Bacteriophages; Genome; Viruses",TC.1232,2,0.06,-,2.67,61.914
"Design; Product Design; Product Development",TC.263,2,0.01,-,0.21,69.478
"Sex Ratio; India; Parturition",TC.1358,2,0.09,-,0.35,12.985
"Women; Dysmenorrhea; Female Circumcision",TC.1360,2,0.07,-,0.29,30.187
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,2,0.0,-4.1,0.28,96.519
"Fairytales; Manuscripts; Translation",TC.1188,2,0.07,-100.0,0.0,0.535
"Horses; Horse Diseases; Exercise",TC.452,2,0.03,-,0.0,38.153
"Magnetic Anisotropy; Magnetization; Magnetism",TC.105,2,0.01,-,0.31,93.44
"Ultrashort Pulses; Laser Induced Breakdown Spectroscopy; Ultrafast Lasers",TC.435,2,0.02,8.3,2.27,76.104
"Personality; Borderline Personality Disorder; Personality Disorders",TC.689,2,0.03,-,3.36,62.985
"Inflammasomes; Inflammation; Toll-Like Receptor 4",TC.551,2,0.02,-100.0,0.89,86.948
"Plants; Rhizosphere; Rhizobium",TC.488,2,0.02,-,4.44,83.4
"Electrical Resistivity; Ground Penetrating Radar Systems; Geological Surveys",TC.508,2,0.02,-,0.05,49.799
"Asteraceae; Sesquiterpenes; Volatile Oils",TC.775,2,0.04,-100.0,0.37,52.744
"Planning; Governance; Community",TC.577,2,0.02,-,0.0,60.643
"Wrist; Hand; Tendons",TC.566,2,0.03,-,0.0,27.711
"Metagenome; Probiotics; Bacteria",TC.215,2,0.01,-,0.67,98.661
"Cuba; Slaves; Brazil",TC.819,2,0.03,-100.0,2.05,9.371
"Women; Erectile Dysfunction; Testosterone",TC.194,2,0.01,-100.0,0.16,77.443
"Neoplasms; Solitary Fibrous Tumors; Dermatofibrosarcoma",TC.963,2,0.04,-,0.3,15.06
"Rhetoric; Feminist; Feminism",TC.791,2,0.03,-100.0,0.52,21.084
"Pharmacists; Pharmaceutical Preparations; Pharmacy",TC.199,2,0.01,-,2.72,79.183
"Sports; Athletes; Football",TC.567,2,0.02,-100.0,0.22,52.945
"Attention; Brain; Learning",TC.10,2,0.0,-,0.08,98.193
"Powdery Mildew; Sugar Beet; Fungicides",TC.1147,2,0.07,-,1.81,26.506
"Thymelaeaceae; Diterpenes; Volatile Oils",TC.1261,2,0.08,-100.0,0.86,29.987
"Hemiptera; Pseudococcidae; Scale Insects",TC.1394,2,0.15,-,0.9,3.079
"Microfluidics; Fluidic Devices; Microchannels",TC.197,2,0.01,-,1.65,95.917
"Xanthomonas; Ralstonia Solanacearum; Genome",TC.1001,2,0.05,-,0.62,46.051
"Mustard Gas; Chemical Warfare Agents; Decontamination",TC.1434,2,0.11,-100.0,0.2,26.573
"Cucurbitaceae; Cucurbitacins; Citrullus",TC.1379,2,0.08,-7.6,0.13,20.683
"India; Indian; Politics",TC.475,2,0.02,-,0.0,34.137
"Vascular Endothelial Growth Factor A; Neoplasms; Endothelial Cells",TC.429,2,0.02,-,0.04,79.05
"Organic Light Emitting Diodes (OLED); Solar Cells; Conjugated Polymers",TC.61,2,0.0,-,0.84,99.598
"Analgesia; Nerve Block; Bupivacaine",TC.305,2,0.02,-100.0,0.32,64.324
"Health Literacy; Patients; Internet",TC.717,2,0.02,-,0.0,69.612
"Potatoes; Solanum Tuberosum; Tubers",TC.1161,2,0.08,-,0.77,29.853
"Aneurysm; Intracranial Aneurysm; Subarachnoid Hemorrhage",TC.288,2,0.01,-,0.19,63.855
"Endocarditis; Aneurysm; Patients",TC.1018,2,0.04,-100.0,1.56,24.766
"International Relations; Security; Politics",TC.548,2,0.02,-,0.62,36.814
"Gambling; Internet; Students",TC.555,2,0.02,-,1.66,87.751
"Intermetallics; Alloys; Titanium Alloys",TC.401,2,0.03,-,0.29,64.257
"Alcohols; Ethanol; Alcohol Drinking",TC.433,2,0.03,-,0.0,67.269
"Indonesia; Malaysia; Thailand",TC.676,2,0.03,-13.1,2.83,24.9
"Cadmium; Lead; Chromium",TC.373,2,0.03,-100.0,0.48,68.139
"Fuzzy Systems; Fuzzy Inference; Neural Networks",TC.573,2,0.02,-,0.2,57.898
"Antioxidants; Lonicera; Fruit",TC.827,2,0.03,-100.0,1.74,55.556
"Filarial Elephantiasis; Onchocerciasis; Microfilaria",TC.1172,2,0.08,-,0.35,23.896
"Pentecostal; Pentecostalism; Religion",TC.1078,2,0.04,-100.0,0.0,11.111
"Roman; Rome; Ancient",TC.114,2,0.02,-,2.55,11.178
"Morals; Bioethics; Humans",TC.733,2,0.03,-,0.3,39.157
"Tibial Fractures; Bone And Bones; Tibia",TC.620,2,0.03,-,0.56,36.546
"Surveys; Data Collection; Interview",TC.1093,2,0.05,-,0.45,33.467
"Gravitation; Black Holes (Astronomy); Models",TC.15,2,0.01,-,0.18,95.716
"Microsatellite Repeats; Genetic Variation; Loci",TC.716,2,0.04,-,0.15,49.732
"Media; News; Journalism",TC.279,2,0.01,-,0.91,81.593
"Research; Clinical Trials As Topic; Patients",TC.463,2,0.02,-100.0,2.24,62.048
"Birds; Nests; Seabirds",TC.41,2,0.01,-,1.62,89.759
"Religion; Church; Religious",TC.809,2,0.03,-100.0,0.96,12.182
"Patents; Copyright; Intellectual Property",TC.586,2,0.03,12.5,0.85,28.715
"Curcumin; Curcuma; Ginger",TC.1127,2,0.03,-,5.49,71.62
"Flora; Grasslands; Italy",TC.706,2,0.05,-100.0,0.23,30.924
"Ozonization; Degradation; Wastewater Treatment",TC.206,2,0.01,-100.0,18.98,98.728
"Arctic; Seas; Piracy",TC.938,2,0.04,-100.0,0.96,22.758
"Intercropping; Nutrient Management; India",TC.954,2,0.05,-,0.51,27.51
