Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Sydney"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Galaxies; Stars; Planets",TC.1,1015,1.58,0.9,2.13,99.264
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,125,0.29,-46.3,1.99,99.398
"Vaccination; Vaccines; Immunization",TC.367,123,1.21,62.0,2.09,70.482
"Post-Traumatic Stress Disorders; Wounds And Injuries; Disasters",TC.283,122,0.74,5.3,1.68,83.936
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,122,0.2,-27.1,2.19,96.519
"Allergens; Hypersensitivity; Atopic Dermatitis",TC.116,122,0.62,41.4,1.85,90.629
"Dengue; Viruses; Dengue Virus",TC.170,121,0.52,31.4,2.34,98.327
"Pharmaceutical Preparations; Nanoparticles; Tablets",TC.82,121,0.43,-6.5,1.41,97.39
"Secondary Batteries; Electric Batteries; Lithium Alloys",TC.30,121,0.16,-58.4,2.59,100.0
"Melanesia; Anthropology; Australia",TC.645,119,1.86,72.9,1.3,26.439
"Amyotrophic Lateral Sclerosis; Motor Neurons; Patients",TC.1021,119,2.06,20.0,2.11,78.514
"Schizophrenia; Psychotic Disorders; Antipsychotic Agents",TC.80,117,0.5,-9.9,2.25,92.236
"Pancreatic Neoplasms; Pancreatitis; Patients",TC.51,117,0.4,73.4,2.54,89.893
"Premature Infant; Infant (Newborn); Neonatal Intensive Care Units",TC.299,116,0.92,3.1,2.43,77.309
"Mussels; Bivalvia; Oysters",TC.244,115,1.12,-29.1,1.45,75.636
"Wheat; Triticum; Triticum Aestivum",TC.617,115,2.33,-15.6,1.77,58.501
"Monetary Policy; Economic Growth; Exports",TC.21,114,0.27,25.7,1.04,90.094
"Estimator; Models; Variable Selection",TC.74,114,0.38,-24.5,0.94,83.601
"Breast Neoplasms; Genetic Testing; Risk",TC.587,113,1.14,17.2,2.12,80.991
"Health; Costs And Cost Analysis; Neoplasms",TC.584,112,1.03,210.3,3.73,72.892
"Brain-Derived Neurotrophic Factor; Neurogenesis; Neurons",TC.161,110,0.73,73.6,1.24,89.692
"Arabidopsis; Plants; Genes",TC.11,110,0.25,11.9,1.88,98.862
"Child; Adolescent; Schools",TC.99,110,0.39,75.6,1.29,93.307
"Suicide; Suicidal Ideation; Wounds And Injuries",TC.531,109,1.17,-13.1,1.62,73.829
"Hearing; Hearing Loss; Cochlear Implants",TC.66,108,0.45,10.6,1.0,87.483
"Mesenchymal Stromal Cells; Stem Cells; Induced Pluripotent Stem Cells",TC.163,108,0.36,36.6,2.33,97.657
"Sepsis; Acute Kidney Injury; Patients",TC.251,107,0.58,21.2,5.91,88.153
"Iron; Anemia; Erythropoietin",TC.238,107,0.78,-42.6,1.38,83.133
"Photonic Crystals; Photonics; Waveguides",TC.203,107,0.53,-77.6,0.96,86.345
"Alcohols; Cannabis; Drinking",TC.174,104,0.61,-40.9,1.71,84.94
"Algebra; Category; Module",TC.38,103,0.39,95.2,1.17,56.56
"Women; Erectile Dysfunction; Testosterone",TC.194,103,0.77,-5.1,2.31,77.443
"Thyroid Neoplasms; Thyroid Gland; Thyroidectomy",TC.76,103,0.44,36.0,3.15,89.357
"Research; Clinical Trials As Topic; Patients",TC.463,102,1.0,10.0,1.15,62.048
"Women; Cesarean Section; Parturition",TC.397,102,0.86,-26.2,1.5,67.202
"Tooth; Bone And Bones; Dentin",TC.14,102,0.23,-57.0,0.91,94.378
"Media; News; Journalism",TC.279,102,0.52,-36.3,2.39,81.593
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,101,0.14,140.9,1.57,98.461
"Mental Health; Psychiatry; Depression",TC.661,100,1.24,-5.2,1.87,61.847
"Industry; Research; Marketing",TC.36,99,0.26,11.4,1.68,96.586
"Formicidae; Hymenoptera; Ant",TC.260,99,0.88,19.8,1.67,82.329
"Health; Delivery Of Health Care; Women",TC.424,97,0.7,379.8,7.47,76.908
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,97,0.35,-16.7,1.37,93.641
"Breads; Starch; Glutens",TC.169,97,0.56,-5.3,1.68,91.299
"Magnetic Fields; Ionospheres; Sunspots",TC.31,97,0.39,-46.4,0.91,87.282
"Gambling; Internet; Students",TC.555,96,0.77,-1.9,3.07,87.751
"Ligands; Crystal Structure; Organometallics",TC.71,96,0.29,51.1,1.4,99.331
"Vertigo; Cerebellum; Dizziness",TC.453,95,1.3,-25.8,1.87,58.768
"Opioid Analgesics; Pain; Prescriptions",TC.510,95,0.98,-16.4,1.68,78.916
"Pneumonia; Streptococcus Pneumoniae; Anti-Bacterial Agents",TC.159,94,0.61,31.5,1.84,82.798
"Breast Neoplasms; Early Detection Of Cancer; Women",TC.595,94,1.03,45.9,6.45,75.033
"Design; Human Computer Interaction; Augmented Reality",TC.231,93,0.38,7.6,1.6,82.865
"Combustion; Combustors; Ignition",TC.256,92,0.59,18.3,1.22,87.55
"Spinal Cord Injuries; Wheelchairs; Rehabilitation",TC.841,91,1.46,-18.4,4.66,52.677
"Brain Injuries; Wounds And Injuries; Patients",TC.258,91,0.53,47.8,1.17,87.015
"Indonesia; Malaysia; Thailand",TC.676,90,1.23,-54.5,1.21,24.9
"Health Literacy; Patients; Internet",TC.717,90,0.92,78.9,2.49,69.612
"Hypertrophic Cardiomyopathy; Myosins; Cardiomyopathies",TC.554,89,1.47,2.5,1.78,60.576
"Cells; Drosophila; Neoplasms",TC.110,89,0.38,-37.9,1.01,94.645
"Nurses; Nursing; Students",TC.212,89,0.58,-32.2,1.43,68.273
"Vehicles; Accident Prevention; Highway Accidents",TC.315,89,0.59,-27.8,0.77,73.695
"Delivery Of Health Care; Patients; Hospitals",TC.160,87,0.41,-1.7,1.51,86.078
"Syphilis; Chlamydia Trachomatis; Infection",TC.348,87,0.95,21.7,2.22,66.399
"Non-Small-Cell Lung Carcinoma; Lung Neoplasms; Patients",TC.124,87,0.31,-28.6,5.46,95.582
"Tree Ring; Trees; Growth Rings",TC.370,86,0.91,19.7,2.44,85.676
"Carnivores; Ungulates; Deer",TC.224,86,0.65,186.0,2.72,81.124
"Publications; Periodicals As Topic; Research",TC.275,86,0.44,-16.8,1.27,84.27
"Teacher; School; Education",TC.150,85,0.41,-18.5,1.39,74.967
"Ankle; Foot; Diabetic Foot",TC.319,85,0.64,-19.0,1.35,66.801
"Epilepsy; Seizures; Electroencephalography",TC.73,85,0.34,-8.4,2.07,90.763
"Fluorescence; Probes; Supramolecular Chemistry",TC.248,84,0.4,-9.9,1.56,97.992
"Rotavirus; Norovirus; Coronavirus",TC.403,84,0.75,-2.2,1.86,81.66
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,83,0.37,-21.4,1.36,91.165
"Sarcopenia; Patients; Aged",TC.782,83,0.85,67.6,2.01,82.129
"Cytomegalovirus; Cytomegalovirus Infections; Herpes Zoster",TC.225,83,0.7,-10.4,3.02,72.557
"Corals; Coral Reefs; Cnidaria",TC.399,83,0.98,53.7,2.45,80.388
"Classification (Of Information); Learning Systems; Algorithms",TC.195,82,0.32,124.0,2.06,88.487
"Broiler Chickens; Laying Hens; Swine",TC.202,82,0.68,102.1,1.57,71.151
"Acute Myeloid Leukemia; Patients; Precursor Cell Lymphoblastic Leukemia-Lymphoma",TC.134,81,0.37,-17.7,1.25,92.436
"Muscles; Duchenne Muscular Dystrophy; Skeletal Muscle",TC.385,80,0.82,-57.5,2.25,80.589
"Heart Diseases; Patients; Congenital Heart Defects",TC.266,80,0.54,50.5,1.44,64.726
"Solitons; Waves; Nonlinear Equations",TC.235,78,0.56,-9.7,0.63,72.49
"HIV-1; HIV; HIV Infections",TC.188,78,0.56,29.7,2.3,88.755
"Nurses; Nurse Practitioners; Nursing",TC.839,77,1.41,-3.7,1.48,35.141
"Buildings; Air Conditioning; Ventilation",TC.176,77,0.29,8.7,2.0,95.248
"Horses; Horse Diseases; Exercise",TC.452,77,1.21,-10.4,2.22,38.153
"Mitochondrial Genome; Transfer RNA; Genes",TC.650,76,0.96,-30.1,3.24,69.143
"Literacy; Teacher; Student",TC.450,75,0.65,-40.9,1.85,46.185
"Oceans; Lakes; Dissolved Organic Matter",TC.52,74,0.29,-52.8,2.12,95.984
"Microtubules; Cilia; Phosphotransferases",TC.393,74,0.65,-15.3,1.18,85.074
"Models; Social Networking (Online); Algorithms",TC.358,73,0.3,-56.8,1.49,89.023
"Teachers; Language; Student",TC.265,73,0.38,-42.3,1.69,73.36
"Myasthenia Gravis; Thymoma; Encephalitis",TC.810,72,1.15,49.9,2.63,51.205
"Mental Health; Homeless Persons; Mental Health Services",TC.499,71,0.96,-35.3,1.03,53.28
"Dairy Cows; Cows; Mastitis",TC.136,71,0.45,107.4,1.56,80.857
"Hydroxyapatite; Calcium Phosphate; Scaffolds",TC.247,71,0.4,-24.8,1.53,93.507
"Industry; Information Systems; Research",TC.254,71,0.44,-52.6,1.73,76.238
"Students; Science; Learning",TC.230,70,0.41,85.7,0.84,70.75
"Cystic Fibrosis; Cystic Fibrosis Transmembrane Conductance Regulator; Pseudomonas Aeruginosa",TC.641,70,1.07,-52.6,1.27,67.537
"Rumen; Dairy Cows; Rumen Fermentation",TC.168,70,0.54,13.2,1.17,76.305
"Cells; Neoplasms; Hydrogels",TC.166,70,0.31,36.2,2.61,97.055
"Law; Court; Human Rights",TC.757,70,1.18,-41.3,0.86,22.959
"Party; Election; Voter",TC.172,70,0.31,-44.7,1.36,78.179
"Gravitation; Black Holes (Astronomy); Models",TC.15,69,0.18,-56.0,7.18,95.716
"Sphingosine; Enzyme Replacement Therapy; Sphingolipids",TC.330,69,0.65,-6.2,1.12,81.191
"Contraception; Women; Contraceptive Agents",TC.409,69,0.76,39.2,1.3,60.776
"Metagenome; Probiotics; Bacteria",TC.215,69,0.3,180.9,2.56,98.661
"Agents; Game Theory; Models",TC.173,69,0.31,-45.7,1.43,81.058
"Aortic Valve; Mitral Valve; Aortic Valve Stenosis",TC.243,68,0.34,30.7,0.84,86.814
"Glioma; Neoplasms; Glioblastoma",TC.222,67,0.38,99.0,2.26,86.546
"Health; Disease Outbreaks; Diseases",TC.1345,67,1.72,27.3,1.28,39.29
"Laboratories; Patients; Medicine",TC.789,67,1.04,48.8,1.93,49.264
"Magnetic Resonance Imaging; Brain; Diffusion",TC.181,67,0.31,50.0,2.27,93.373
"Offense; Police; Offender",TC.207,66,0.37,-33.6,0.88,75.234
"Remote Sensing; Image Classification; Satellite Imagery",TC.153,66,0.23,490.0,1.5,95.114
"Birds; Nests; Seabirds",TC.41,65,0.31,40.4,1.59,89.759
"Disasters; Floods; Risks",TC.438,65,0.42,7.3,1.55,83.467
"Lymphoma; Diffuse Large B-Cell Lymphoma; Patients",TC.62,65,0.25,15.5,4.34,90.428
"Justice; Theory; Human Rights",TC.570,65,0.64,-37.4,0.47,39.759
"Morals; Research; Behavior",TC.267,65,0.35,-16.9,1.1,88.019
"Trade Unions; Workers; Labor",TC.524,65,1.01,-4.7,0.97,30.723
"China; Asia; Chinese",TC.495,64,0.63,-12.8,1.3,42.503
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,63,0.07,-18.4,1.17,99.933
"Conflict Of Interest; Industry; Physicians",TC.942,63,1.29,231.0,1.69,40.228
"Dogs; Pets; Cats",TC.964,63,1.26,35.8,2.15,40.562
"Memory; Episodic Memory; Learning",TC.448,63,0.66,-25.8,1.26,73.226
"Multi Agent Systems; Motion Planning; Robots",TC.285,63,0.28,-44.6,1.59,87.416
"Foams; Energy Absorption; Crashworthiness",TC.803,62,0.73,52.7,4.46,72.758
"DNA Methylation; Epigenomics; Neoplasms",TC.478,62,0.44,67.8,1.76,91.968
"Sports; Students; Athletes",TC.443,62,0.53,-47.4,1.98,73.293
"Pheochromocytoma; Paraganglioma; Hydrocortisone",TC.286,62,0.56,11.3,1.81,69.344
"Arthroplasty; Hip; Knee",TC.123,61,0.24,183.2,1.28,87.349
"Mesothelioma; Asbestos; Neoplasms",TC.682,61,1.18,-21.0,2.54,54.351
"Oxytocin; Hydrocortisone; Anxiety",TC.432,60,0.72,-27.9,2.51,82.664
"Hepatocellular Carcinoma; Liver; Neoplasms",TC.182,60,0.31,-42.8,1.25,86.011
"Rhinitis; Sinusitis; Patients",TC.336,59,0.6,-21.1,2.17,57.028
"Ecosystem Services; Willingness To Pay; Valuation",TC.955,59,0.92,-60.2,2.01,76.64
"Catalysts; Zeolites; Hydrogenation",TC.7,59,0.11,-48.1,1.06,99.732
"Electronic Health Records; Medical Informatics; Delivery Of Health Care",TC.346,59,0.44,42.1,3.17,71.419
"Cannabinoids; Cannabis; Endocannabinoids",TC.318,59,0.47,80.9,1.82,88.42
"Criminals; Violence; Mental Health",TC.388,59,0.6,19.3,1.1,63.32
"Alcohols; Ethanol; Alcohol Drinking",TC.433,59,0.86,4.7,2.08,67.269
"Migration; Migrant; Immigrant",TC.419,58,0.47,98.0,1.89,59.572
"Exercise; Hot Temperature; Athletes",TC.756,58,1.02,38.2,1.3,56.894
"Occupational Therapy; Students; Physical Therapists",TC.902,58,1.29,12.1,0.9,34.605
"Spermatozoa; Semen; Oocytes",TC.94,58,0.34,-14.0,1.33,84.337
"Heart Rate; Blood Pressure; Patients",TC.665,58,0.85,-4.0,1.92,61.981
"Insulin; Insulin-Secreting Cells; Islets Of Langerhans",TC.331,56,0.59,-34.8,1.86,82.062
"Chromatin; Histones; Epigenomics",TC.201,56,0.29,12.7,1.28,96.653
"Students; Education; Teaching",TC.542,56,0.45,-37.4,1.56,74.833
"Database Systems; Ontology; Query Processing",TC.143,56,0.2,31.7,2.35,86.881
"International Law; Human Rights; Responsibility",TC.363,55,0.44,-20.3,1.06,33.802
"Fisheries; Sharks; Fish",TC.63,55,0.25,29.7,1.5,90.228
"Breast Neoplasms; Tamoxifen; Estrogen Receptors",TC.439,55,0.79,125.4,4.11,71.553
"Graph In Graph Theory; Coloring; Graphic Methods",TC.262,55,0.34,-92.1,1.74,59.505
"Complementary Therapies; Homeopathy; Patients",TC.474,55,0.72,7.4,0.85,52.276
"Pulmonary Hypertension; Pulmonary Artery; Patients",TC.492,55,0.7,55.3,3.76,66.064
"Semantics; Models; Recommender Systems",TC.37,54,0.1,-54.7,2.08,96.319
"Health; Socioeconomic Factors; Mortality",TC.537,54,0.54,110.4,1.54,75.301
"Stilbenes; Sirtuin 1; Sirtuins",TC.983,54,0.69,566.2,2.86,82.597
"Calcium; Calcium Signaling; Ion Channels",TC.232,54,0.51,-39.9,1.22,78.112
"Synchronization; Chaotic Systems; Chaos Theory",TC.210,54,0.3,92.4,1.52,85.408
"Squamous Cell Carcinoma; Head And Neck Neoplasms; Carcinoma",TC.264,54,0.38,311.1,1.27,76.841
"Transgendered Persons; Female Homosexuality; Bisexuality",TC.580,54,0.52,29.4,1.47,74.9
"Attention Deficit Disorder With Hyperactivity; Child; Methylphenidate",TC.721,54,0.79,18.7,1.23,67.805
"Students; Learning; Teaching; Course",TC.684,54,0.87,47.1,1.49,36.881
"Ticks; Lyme Disease; Borrelia Burgdorferi",TC.269,53,0.46,39.7,1.52,75.368
"Block Copolymers; Micelles; Polymers",TC.112,53,0.24,-58.6,2.52,97.858
"Helicobacter Pylori; Gastroesophageal Reflux; Helicobacter Infections",TC.90,53,0.28,108.5,1.31,85.944
"Proteins; Membranes; Endocytosis",TC.498,53,0.72,-33.4,1.01,78.246
"Piles; Soils; Geotechnical Engineering",TC.64,53,0.15,-3.3,0.98,87.684
"Emergencies; Patients; Hospitals",TC.675,53,0.64,-2.8,1.11,57.965
"Malaria; Plasmodium Falciparum; Parasites",TC.180,52,0.31,70.0,1.27,89.424
"Orthodontics; Malocclusion; Temporomandibular Joint",TC.236,52,0.36,49.5,2.75,63.989
"Spinoza; Leibniz; Descartes",TC.671,52,0.85,457.9,1.05,11.245
"Liver Transplantation; Liver; Fibrosis",TC.144,52,0.29,32.8,1.04,81.526
"Telemedicine; Technology; Patients",TC.851,52,0.85,15.3,1.19,50.535
"Telomere; Telomerase; G-Quadruplexes",TC.863,52,0.68,30.9,1.83,86.479
"Systemic Lupus Erythematosus; Systemic Scleroderma; Patients",TC.162,52,0.32,-32.6,1.32,84.003
"Neutrons; Neutron Sources; Neutron Detectors",TC.1141,52,1.71,33.0,0.86,14.659
"Conflict; Peace; War",TC.489,52,0.48,31.9,1.44,51.874
"Health; Research; Income",TC.1068,51,0.79,45.8,30.77,60.71
"Drosophila; Insects; Drosophila Melanogaster",TC.342,51,0.68,-64.2,1.79,72.222
"Blood; Blood Transfusion; Patients",TC.272,50,0.4,-20.9,1.59,74.297
"Patients; Psychiatry; Anxiety",TC.925,50,1.16,-17.5,1.16,34.94
"Noise Pollution; Acoustic Waves; Acoustic Variables Control",TC.654,50,0.6,-22.0,1.24,51.406
"Fossils; Pleistocene; Paleolithic",TC.127,50,0.35,-8.0,2.39,80.522
"Particulate Matter; Air Pollution; Air Pollutants",TC.431,50,0.41,-17.5,2.34,89.09
"Nursing Homes; Long-Term Care; Caregivers",TC.482,50,0.59,24.3,1.22,57.095
"Memory; Hippocampus; Learning",TC.412,50,0.59,316.4,1.11,80.12
"Learning; Students; Education",TC.557,49,0.55,-36.4,6.24,50.937
"Fatty Liver; Liver Diseases; Alcoholic Fatty Liver",TC.1042,49,0.71,53.1,3.51,77.175
"Burns; Wounds And Injuries; Cicatrix",TC.545,49,0.69,-58.6,1.02,48.327
"Proteomics; Mass Spectrometry; Proteins",TC.227,49,0.3,45.5,1.26,92.503
"Lymphedema; Breast Neoplasms; Chylothorax",TC.1024,49,1.11,-16.2,1.11,28.313
"Venoms; Snake Bites; Antivenins",TC.571,48,0.84,18.3,1.12,56.359
"PPAR Gamma; AMP-Activated Protein Kinases; Lipids",TC.434,48,0.54,47.0,2.29,80.723
"DNA Repair; DNA Damage; Neoplasms",TC.104,47,0.25,126.3,2.33,93.574
"Personality; Borderline Personality Disorder; Personality Disorders",TC.689,47,0.68,-7.4,1.6,62.985
"Cataract; HSP90 Heat-Shock Proteins; Lenses",TC.484,47,0.73,0.7,1.26,65.596
"Climate Models; Model; Rainfall",TC.5,47,0.08,-12.2,1.64,98.929
"Waves; Water Waves; Wave Energy Conversion",TC.284,47,0.35,-51.5,1.77,75.77
"Genome-Wide Association Study; Single Nucleotide Polymorphism; Genes",TC.592,47,0.47,119.0,2.63,84.203
"Schools; Students; Disability",TC.394,46,0.5,-33.4,1.16,51.272
"Heart Failure; Patients; Brain Natriuretic Peptide",TC.300,46,0.37,-11.8,1.54,84.739
"Breast Feeding; Mothers; Infant",TC.552,46,0.48,-11.5,1.8,64.458
"Dogs; Cats; Neoplasms",TC.326,45,0.49,4.6,1.83,45.181
"Wounds And Injuries; Patients; Emergencies",TC.380,45,0.43,-19.2,0.94,51.339
"Genome; Neoplasms; Genes",TC.436,45,0.31,-12.1,7.14,94.043
"Violence; Women; Child",TC.310,45,0.32,12.0,0.95,78.782
"Obesity; Leptin; Adiponectin",TC.257,45,0.26,-40.2,1.4,91.633
"Huntington Disease; Myotonic Dystrophy; Spinocerebellar Ataxias",TC.794,45,0.72,-9.6,1.41,65.73
"Religion; Church; Religious",TC.809,45,0.73,2.0,1.56,12.182
"Roman; Rome; Ancient",TC.114,45,0.35,-19.7,1.24,11.178
"Child; Geography; Research",TC.596,45,0.47,5.6,1.15,49.398
"Heat Transfer; Nusselt Number; Natural Convection",TC.142,45,0.18,-22.2,0.83,96.72
"Idiopathic Pulmonary Fibrosis; Interstitial Lung Diseases; Langerhans-Cell Histiocytosis",TC.673,44,0.6,224.6,1.87,59.639
"Phytophthora; Trichoderma; Phytophthora Infestans",TC.425,44,0.63,-81.4,1.02,62.918
"Proteins; Molecular Dynamics Simulation; Molecular Dynamics",TC.108,44,0.2,39.3,0.74,94.846
