Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"WUN - Worldwide Universities Network"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Galaxies; Stars; Planets",TC.1,4425,6.87,15.7,2.23,99.264
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,1254,5.58,23.6,2.31,91.165
"Permanent Magnets; Induction Motors; Synchronous Motors",TC.118,1216,3.94,5.8,1.48,87.818
"Oceans; Lakes; Dissolved Organic Matter",TC.52,1199,4.77,5.8,2.0,95.984
"Gasification; Pyrolysis; Coal",TC.87,1197,3.83,4.2,1.4,98.527
"Child; Adolescent; Schools",TC.99,1194,4.2,23.5,1.41,93.307
"Schizophrenia; Psychotic Disorders; Antipsychotic Agents",TC.80,1179,5.08,-0.2,1.69,92.236
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,1177,3.75,-10.6,1.48,92.905
"Photonic Crystals; Photonics; Waveguides",TC.203,1173,5.8,34.7,1.12,86.345
"Forests; Landscapes; Plants",TC.151,1172,5.33,7.9,2.22,94.712
"Human Influenza; Orthomyxoviridae; Influenza Vaccines",TC.147,1172,4.97,18.0,1.84,91.432
"Fiber Lasers; Fibers; Optical Fibers",TC.111,1171,4.18,-27.9,1.08,88.353
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,1170,8.11,16.3,3.08,78.581
"Cholesterol; Lipids; Atherosclerosis",TC.79,1148,4.92,21.9,3.35,94.444
"Colorectal Neoplasms; Rectal Neoplasms; Patients",TC.93,1142,4.0,12.1,2.18,92.035
"Electricity; Energy; Economics",TC.81,1135,3.16,18.1,2.17,98.594
"Exercise; Athletes; Muscles",TC.100,1124,4.11,0.5,1.3,92.369
"Organic Light Emitting Diodes (OLED); Solar Cells; Conjugated Polymers",TC.61,1122,2.67,-7.5,1.88,99.598
"Photonics; Optical Communication; Optical Fibers",TC.113,1119,4.29,17.4,1.4,79.518
"Industry; Research; Marketing",TC.36,1116,2.95,0.8,1.48,96.586
"Birds; Nests; Seabirds",TC.41,1104,5.34,7.7,1.48,89.759
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,1103,3.57,28.2,1.91,93.106
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,1092,3.8,4.1,1.96,95.448
"Knee; Osteoarthritis; Cartilage",TC.120,1080,4.21,1.5,1.59,91.566
"Parkinson Disease; Deep Brain Stimulation; Patients",TC.102,1075,4.21,15.2,1.71,95.85
"Gravitation; Black Holes (Astronomy); Models",TC.15,1064,2.76,-11.9,1.71,95.716
"Hearing; Hearing Loss; Cochlear Implants",TC.66,1028,4.29,1.4,1.23,87.483
"Fisheries; Sharks; Fish",TC.63,1024,4.7,-19.1,1.68,90.228
"Agents; Game Theory; Models",TC.173,1018,4.54,-6.9,1.1,81.058
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,1010,2.42,-3.9,1.82,93.173
"Remote Sensing; Image Classification; Satellite Imagery",TC.153,1003,3.47,-6.3,1.7,95.114
"Block Copolymers; Micelles; Polymers",TC.112,992,4.52,-11.1,1.73,97.858
"Smoking; Tobacco Products; Smoking Cessation",TC.205,990,5.25,-5.0,1.7,89.826
"Health; Delivery Of Health Care; Women",TC.424,969,6.98,1.8,2.47,76.908
"Models; Social Networking (Online); Algorithms",TC.358,964,3.94,-5.8,1.7,89.023
"Stroke; Patients; Cerebral Hemorrhage",TC.138,962,4.23,33.1,3.72,89.157
"Tooth; Bone And Bones; Dentin",TC.14,961,2.15,-6.0,1.2,94.378
"Mesenchymal Stromal Cells; Stem Cells; Induced Pluripotent Stem Cells",TC.163,955,3.14,1.7,1.57,97.657
"Magnetic Fields; Ionospheres; Sunspots",TC.31,953,3.83,-6.5,1.0,87.282
"Oral Health; Periodontitis; Dental Caries",TC.125,948,4.52,4.3,1.37,84.605
"Concretes; Compressive Strength; Cements",TC.68,941,2.41,-6.3,1.3,97.122
"Pneumonia; Streptococcus Pneumoniae; Anti-Bacterial Agents",TC.159,935,6.05,37.4,1.78,82.798
"Kant; Theory; Epistemic",TC.152,924,3.9,-6.3,1.41,50.87
"Breast Neoplasms; Patients; Mammography",TC.89,916,3.61,18.0,1.85,90.897
"Non-Small-Cell Lung Carcinoma; Lung Neoplasms; Patients",TC.124,915,3.23,19.3,3.62,95.582
"Reynolds Number; Boundary Layers; Large Eddy Simulation",TC.34,912,2.72,1.7,1.26,89.96
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,907,4.55,7.1,2.09,89.625
"Arthroplasty; Hip; Knee",TC.123,897,3.46,-3.9,1.33,87.349
"Database Systems; Ontology; Query Processing",TC.143,893,3.21,-3.4,1.4,86.881
"Lymphoma; Diffuse Large B-Cell Lymphoma; Patients",TC.62,888,3.38,24.4,2.33,90.428
"Health; Costs And Cost Analysis; Neoplasms",TC.584,887,8.19,21.1,2.25,72.892
"Pain; Neuralgia; Chronic Pain",TC.140,876,4.44,10.9,1.8,90.562
"Ligands; Crystal Structure; Organometallics",TC.71,875,2.67,-6.5,1.84,99.331
"Microstructure; Steel; Austenite",TC.20,872,2.08,4.8,1.68,97.323
"Algebra; Category; Module",TC.38,867,3.31,8.6,0.95,56.56
"Fiber Optic Networks; Quality Of Service; Network Architecture",TC.95,858,3.21,-8.3,1.8,87.216
"Semiconductor Quantum Dots; Semiconductor Quantum Wells; Gallium Arsenide",TC.59,856,4.62,16.7,0.95,86.412
"Allergens; Hypersensitivity; Atopic Dermatitis",TC.116,856,4.36,7.0,2.13,90.629
"Party; Election; Voter",TC.172,854,3.72,-26.5,1.47,78.179
"Software Engineering; Models; Software Design",TC.49,853,2.24,-3.3,1.79,90.964
"Transplants; Tissue Donors; Kidney Transplantation",TC.98,844,4.12,10.0,1.49,83.333
"Reinforced Concrete; Concretes; Steel",TC.137,842,2.91,25.3,0.89,89.224
"Endometriosis; Ovarian Neoplasms; Endometrial Neoplasms",TC.60,841,2.94,10.3,1.59,90.361
"Chronic Renal Insufficiency; Renal Dialysis; Dialysis",TC.221,833,5.36,74.5,1.54,81.995
"Morals; Research; Behavior",TC.267,833,4.52,-11.4,1.59,88.019
"Metagenome; Probiotics; Bacteria",TC.215,832,3.59,48.0,2.88,98.661
"Classification (Of Information); Learning Systems; Algorithms",TC.195,829,3.26,-2.5,1.38,88.487
"Fossils; Pleistocene; Paleolithic",TC.127,822,5.7,-4.3,2.01,80.522
"Pharmacists; Pharmaceutical Preparations; Pharmacy",TC.199,820,4.26,19.0,1.56,79.183
"Data Storage Equipment; Program Processors; Applications",TC.92,815,2.8,25.0,1.21,81.928
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,811,2.94,14.3,1.19,93.641
"Cryptography; Authentication; Data Privacy",TC.84,810,2.02,-3.7,2.61,93.24
"Ferroelectricity; Dielectric Properties; Ferroelectric Materials",TC.86,805,2.89,-13.2,1.2,96.118
"Cells; Drosophila; Neoplasms",TC.110,805,3.44,51.5,1.3,94.645
"Robots; Robotics; Manipulators",TC.101,804,2.6,7.3,1.08,88.956
"Acute Myeloid Leukemia; Patients; Precursor Cell Lymphoblastic Leukemia-Lymphoma",TC.134,799,3.62,-12.3,1.49,92.436
"Alcohols; Cannabis; Drinking",TC.174,798,4.67,-6.5,1.46,84.94
"Urinary Bladder; Overactive Urinary Bladder; Women",TC.117,796,3.95,35.9,1.36,80.054
"Premature Infant; Infant (Newborn); Neonatal Intensive Care Units",TC.299,793,6.29,8.6,1.83,77.309
"Microfluidics; Fluidic Devices; Microchannels",TC.197,792,3.81,-22.0,1.17,95.917
"Tides; Ocean; Ocean Currents",TC.252,789,6.34,9.0,1.68,79.652
"Hypertension; Blood Pressure; Patients",TC.157,777,4.74,44.2,3.03,82.932
"Pancreatic Neoplasms; Pancreatitis; Patients",TC.51,777,2.66,16.0,1.81,89.893
"Media; News; Journalism",TC.279,774,3.95,-4.0,2.08,81.593
"Delivery Of Health Care; Patients; Hospitals",TC.160,772,3.61,-0.4,1.74,86.078
"Epilepsy; Seizures; Electroencephalography",TC.73,770,3.09,18.2,1.35,90.763
"Composite Materials; Laminates; Fiber Reinforced Plastics",TC.183,761,3.93,-18.2,1.53,86.613
"Fluorescence; Probes; Supramolecular Chemistry",TC.248,753,3.54,-26.5,1.93,97.992
"Multi Agent Systems; Motion Planning; Robots",TC.285,747,3.27,-11.0,1.6,87.416
"Cells; Neoplasms; Hydrogels",TC.166,737,3.31,23.3,1.45,97.055
"Brain Injuries; Wounds And Injuries; Patients",TC.258,734,4.31,-7.4,1.6,87.015
"Cheeses; Caseins; Milk",TC.178,728,4.59,7.4,1.78,93.842
"Magnetic Resonance Imaging; Brain; Diffusion",TC.181,726,3.33,27.3,1.68,93.373
"Carnivores; Ungulates; Deer",TC.224,725,5.47,-1.3,1.58,81.124
"Melanoma; Skin Neoplasms; Neoplasms",TC.233,719,4.32,-7.6,2.82,80.924
"Angular Momentum; Gaussian Beams; Beams (Radiation)",TC.422,719,5.8,-3.2,1.24,74.699
"Teacher; School; Education",TC.150,718,3.43,-23.4,1.37,74.967
"Prostatic Neoplasms; Prostate; Prostatectomy",TC.141,717,3.05,11.6,3.0,94.779
"Teachers; Language; Student",TC.265,712,3.69,-11.7,2.03,73.36
"Proteins; Molecular Dynamics Simulation; Molecular Dynamics",TC.108,708,3.19,11.0,1.57,94.846
"Malaria; Plasmodium Falciparum; Parasites",TC.180,702,4.21,16.0,1.21,89.424
"China; Chinese; Hong Kong",TC.471,699,6.81,-14.8,1.2,48.862
"North American Indians; Residence Characteristics; Health",TC.833,698,11.5,-7.4,1.08,54.953
"Inertial Confinement Fusion; Laser Produced Plasmas; Plasmas (Physics)",TC.312,690,6.08,14.8,1.43,65.06
"Depression; Bipolar Disorder; Major Depressive Disorder",TC.175,689,4.39,11.3,1.93,88.688
"DNA Methylation; Epigenomics; Neoplasms",TC.478,687,4.83,37.0,1.92,91.968
"Sarcopenia; Patients; Aged",TC.782,681,6.97,-16.2,2.95,82.129
"Algorithms; Computer Graphics; Surfaces",TC.228,679,4.42,-39.2,0.75,61.178
"Students; Teaching; Education; E-Learning",TC.200,677,2.88,-11.5,1.95,86.278
"Sepsis; Acute Kidney Injury; Patients",TC.251,669,3.6,11.9,2.66,88.153
"Antennas; Slot Antennas; Microwave Antennas",TC.55,661,1.48,-18.5,1.02,91.031
"Cambrian; Cretaceous; Ordovician",TC.44,660,5.73,-10.5,1.57,75.502
"Eating Disorders; Anorexia Nervosa; Body Image",TC.364,657,5.17,-19.0,1.53,86.145
"Uterine Cervical Neoplasms; Papillomavirus Infections; Women",TC.189,655,3.68,21.4,1.7,83.802
"Ozonization; Degradation; Wastewater Treatment",TC.206,649,2.6,4.3,1.82,98.728
"Speech; Speech Recognition; Models",TC.156,647,2.78,-18.1,1.66,82.999
"Supply Chains; Supply Chain Management; Industry",TC.146,639,2.52,24.4,2.23,95.382
"Leishmania; Visceral Leishmaniasis; Trypanosoma Cruzi",TC.261,637,5.76,22.5,1.19,77.376
"Hepatocellular Carcinoma; Liver; Neoplasms",TC.182,626,3.24,21.5,1.5,86.011
"Dairy Cows; Cows; Mastitis",TC.136,626,3.97,6.0,1.39,80.857
"Dengue; Viruses; Dengue Virus",TC.170,625,2.66,27.2,2.45,98.327
"Multiple Sclerosis; Patients; Neuromyelitis Optica",TC.304,621,4.13,-10.0,2.07,87.952
"Helicobacter Pylori; Gastroesophageal Reflux; Helicobacter Infections",TC.90,617,3.25,20.5,1.68,85.944
"Gallium Nitride; Light Emitting Diodes; High Electron Mobility Transistors",TC.208,617,3.34,-11.6,0.98,87.149
"Radiotherapy; Radiation; Intensity-Modulated Radiotherapy",TC.322,617,4.54,-2.8,1.1,71.017
"Pharmaceutical Preparations; Nanoparticles; Tablets",TC.82,616,2.21,35.5,1.52,97.39
"Memristors; MOSFET Devices; Data Storage Equipment",TC.131,616,2.59,11.8,1.55,90.295
"Optimization; Algorithms; Evolutionary Algorithms",TC.259,615,3.15,-14.5,1.26,82.195
"Design; Human Computer Interaction; Augmented Reality",TC.231,614,2.52,-5.8,1.31,82.865
"Heart Failure; Patients; Brain Natriuretic Peptide",TC.300,613,4.99,-8.8,2.31,84.739
"Candida; Infection; Candida Albicans",TC.115,608,3.14,31.3,1.47,85.207
"Corals; Coral Reefs; Cnidaria",TC.399,605,7.14,34.1,2.04,80.388
"Research; Clinical Trials As Topic; Patients",TC.463,604,5.93,11.4,1.25,62.048
"Disasters; Floods; Risks",TC.438,604,3.92,25.4,1.79,83.467
"Verification; Model Checking; Semantics",TC.96,598,2.56,-8.9,1.34,70.549
"Graph In Graph Theory; Coloring; Graphic Methods",TC.262,597,3.7,-27.5,1.51,59.505
"Polypropylenes; Lactic Acid; Blending",TC.69,595,2.36,-15.5,1.04,95.649
"Waves; Water Waves; Wave Energy Conversion",TC.284,594,4.45,-17.6,1.24,75.77
"Dinosaur; Cretaceous; Fossils",TC.375,594,9.77,-8.4,1.34,58.099
"Volcanoes; Volcanic Eruption; Volcanology",TC.465,591,8.88,15.3,1.39,70.415
"Buildings; Air Conditioning; Ventilation",TC.176,586,2.17,16.5,1.48,95.248
"Magnetic Anisotropy; Magnetization; Magnetism",TC.105,585,2.73,-18.1,1.13,93.44
"Africa; African; South Africa",TC.483,585,6.39,-9.0,1.27,34.337
"Housing; Neighborhood; Gentrification",TC.281,582,3.93,-20.5,1.52,74.565
"Ligands; Ruthenium; Catalysts",TC.75,581,3.41,-8.0,1.39,97.791
"Inflammatory Bowel Diseases; Crohn Disease; Ulcerative Colitis",TC.276,581,3.89,11.0,2.34,85.877
"Hydroxyapatite; Calcium Phosphate; Scaffolds",TC.247,580,3.29,-2.6,1.33,93.507
"Mental Health; Psychiatry; Depression",TC.661,579,7.15,22.6,1.54,61.847
"Spermatozoa; Semen; Oocytes",TC.94,575,3.36,-15.6,1.34,84.337
"Silicon Solar Cells; Solar Cells; Silicon",TC.97,575,2.78,-8.3,1.09,88.889
"Lizards; Turtles; Frogs",TC.126,573,3.82,-28.6,1.16,76.506
"Breads; Starch; Glutens",TC.169,572,3.3,-13.7,1.37,91.299
"Alcohols; Reward; Cocaine",TC.132,568,3.27,1.1,1.5,92.771
"Basin; Reservoir; Shale",TC.213,565,3.59,32.9,1.3,77.577
"Breast Neoplasms; Genetic Testing; Risk",TC.587,565,5.71,-17.5,1.91,80.991
"Near Infrared Spectroscopy; Raman Spectrum Analysis; Infrared Devices",TC.451,565,5.2,-8.9,1.98,78.715
"Rumen; Dairy Cows; Rumen Fermentation",TC.168,564,4.37,-9.6,1.18,76.305
"Rivers; Fish; Streams",TC.149,563,3.76,11.5,1.55,82.53
"Genome-Wide Association Study; Single Nucleotide Polymorphism; Genes",TC.592,558,5.6,47.8,2.87,84.203
"Post-Traumatic Stress Disorders; Wounds And Injuries; Disasters",TC.283,557,3.37,5.8,1.45,83.936
"Particulate Matter; Air Pollution; Air Pollutants",TC.431,557,4.52,14.9,2.13,89.09
"Brazil; Health; Nursing",TC.390,551,4.5,28.4,0.64,41.299
"Thyroid Neoplasms; Thyroid Gland; Thyroidectomy",TC.76,550,2.33,19.0,1.69,89.357
"RNA; Ribosomes; Proteins",TC.171,549,3.18,-2.1,1.33,95.315
"Tea; Polyphenols; Anthocyanins",TC.294,548,3.08,5.8,1.4,94.11
"Brain-Derived Neurotrophic Factor; Neurogenesis; Neurons",TC.161,547,3.61,7.1,1.22,89.692
"Offense; Police; Offender",TC.207,547,3.07,1.0,1.67,75.234
"Reservoirs (Water); Oil Well Flooding; Hydraulic Fracturing",TC.164,545,2.07,19.8,2.53,84.07
"Echinococcosis; Schistosomiasis; Parasites",TC.109,542,3.34,18.0,1.31,79.92
"Suicide; Suicidal Ideation; Wounds And Injuries",TC.531,539,5.77,-24.2,1.69,73.829
"Proteomics; Mass Spectrometry; Proteins",TC.227,539,3.32,48.8,1.19,92.503
"DNA Repair; DNA Damage; Neoplasms",TC.104,535,2.79,12.0,1.53,93.574
"Microtubules; Cilia; Phosphotransferases",TC.393,532,4.69,13.3,1.31,85.074
"Memory; Episodic Memory; Learning",TC.448,531,5.54,-8.4,1.53,73.226
"Wind Turbines; Wind Power; Asynchronous Generators",TC.423,530,2.89,-26.3,1.4,85.609
"Health; Socioeconomic Factors; Mortality",TC.537,530,5.31,-8.8,1.52,75.301
"Formicidae; Hymenoptera; Ant",TC.260,528,4.68,-20.1,1.78,82.329
"Obesity; Leptin; Adiponectin",TC.257,527,3.07,1.1,1.74,91.633
"Biosensors; Electrodes; Voltammetry",TC.128,527,1.92,-9.7,1.38,98.996
"Violence; Women; Child",TC.310,526,3.8,-14.0,1.29,78.782
"Phosphors; Luminescence; Light Emission",TC.91,525,1.88,-2.9,1.17,96.252
"Nanocrystals; Semiconductor Quantum Dots; Zinc Sulfide",TC.177,525,2.06,-15.8,1.42,97.456
"Polychlorinated Biphenyls; Organic Pollutants; Halogenated Diphenyl Ethers",TC.209,525,3.37,48.7,1.1,94.311
"Superconductors (Materials); Superconducting Materials; Superconductivity",TC.50,522,2.96,-1.1,1.35,89.29
"Radiation; Tomography; Medical Imaging",TC.245,522,2.89,4.9,1.15,79.116
"Women; Cesarean Section; Parturition",TC.397,520,4.39,-4.2,1.59,67.202
"Nursing Homes; Long-Term Care; Caregivers",TC.482,518,6.15,22.9,1.35,57.095
"Earthquakes; Seismology; Seismic Response",TC.226,516,2.6,11.9,1.15,79.786
"Calcium; Calcium Signaling; Ion Channels",TC.232,512,4.87,16.2,1.05,78.112
"Insulators; Quantum Dots; Spin",TC.186,510,2.88,27.0,1.54,93.775
"HIV-1; HIV; HIV Infections",TC.188,510,3.66,-0.6,1.75,88.755
"Nurses; Nursing; Students",TC.212,509,3.29,2.6,1.8,68.273
"Computer Crime; Network Security; Intrusion Detection",TC.218,507,1.72,20.2,1.76,88.822
"Nanoparticles; Metal Nanoparticles; Nanostructures",TC.700,503,3.67,-2.2,2.49,94.98
"Gambling; Internet; Students",TC.555,498,4.0,-0.3,2.28,87.751
"Tourism; Tourists; Destination",TC.239,498,2.62,8.4,1.19,85.743
"Magnetoplasma; Tokamak Devices; Plasmas",TC.185,497,2.88,46.1,1.28,77.845
"Autophagy; Sirolimus; Neoplasms",TC.627,497,3.64,30.5,1.6,92.57
"Publications; Periodicals As Topic; Research",TC.275,495,2.54,3.0,1.15,84.27
"Migration; Migrant; Immigrant",TC.419,494,4.0,32.6,1.44,59.572
"Construction; Construction Industry; Project Management",TC.295,492,3.02,-5.1,1.38,85.007
"European Union (EU); Europe; Governance",TC.505,491,4.4,-2.1,1.83,46.319
"Mitochondria; Mitochondrial DNA; Mutation",TC.320,491,4.27,14.6,1.42,88.554
"Liver Transplantation; Liver; Fibrosis",TC.144,488,2.75,41.1,1.19,81.526
"Orthodontics; Malocclusion; Temporomandibular Joint",TC.236,487,3.41,34.9,1.18,63.989
"Malnutrition; Enteral Nutrition; Patients",TC.313,486,4.54,26.6,1.69,71.285
"Sports; Students; Athletes",TC.443,485,4.14,-22.0,2.04,73.293
"Broiler Chickens; Laying Hens; Swine",TC.202,484,3.99,-23.5,1.22,71.151
"Rotavirus; Norovirus; Coronavirus",TC.403,483,4.33,-10.2,2.11,81.66
"Constipation; Irritable Bowel Syndrome; Patients",TC.324,482,4.92,32.3,1.3,73.494
"Combustion; Combustors; Ignition",TC.256,481,3.09,-23.3,0.94,87.55
"Iron; Anemia; Erythropoietin",TC.238,481,3.49,2.9,1.42,83.133
"Ankle; Foot; Diabetic Foot",TC.319,480,3.63,2.2,1.03,66.801
"Manifold; Curvature; Metric",TC.158,478,2.36,-39.4,1.03,63.788
"Chromatin; Histones; Epigenomics",TC.201,477,2.46,25.2,1.31,96.653
"Tree Ring; Trees; Growth Rings",TC.370,477,5.07,4.3,2.31,85.676
"Child; Geography; Research",TC.596,474,4.95,-6.0,1.36,49.398
"Breast Feeding; Mothers; Infant",TC.552,473,4.96,-25.3,1.7,64.458
"Power Amplifiers; CMOS Integrated Circuits; Variable Frequency Oscillators",TC.122,472,2.07,29.3,1.03,73.762
"Design; Networks (Circuits); Field Programmable Gate Arrays (FPGA)",TC.148,471,2.49,-24.7,1.44,62.784
"Membranes; Desalination; Ultrafiltration",TC.223,471,2.4,-15.8,1.39,97.925
"Rocks; Rock Mechanics; Tunnels",TC.155,469,1.72,-1.6,0.99,77.51
"Syphilis; Chlamydia Trachomatis; Infection",TC.348,466,5.07,9.0,1.38,66.399
"Heavy Metals; Soils; Cadmium",TC.214,465,2.81,-15.1,1.37,90.161
"Cellulose; Lignin; Cellulases",TC.119,465,1.8,22.8,1.45,98.126
"Optical Tomography; Photoacoustic Effect; Tomography",TC.398,465,3.24,-16.9,0.98,80.455
"Heat Transfer; Nusselt Number; Natural Convection",TC.142,464,1.9,-39.0,1.86,96.72
"Delirium; Anesthesia; Propofol",TC.190,462,2.98,49.3,1.74,80.79
"Mussels; Bivalvia; Oysters",TC.244,461,4.49,0.5,1.35,75.636
"Justice; Theory; Human Rights",TC.570,461,4.55,4.9,1.32,39.759
"Shoulder; Rotator Cuff; Tendons",TC.241,458,2.38,4.6,1.13,77.242
"Drops; Hydrophobicity; Contact Angle",TC.374,458,2.94,-21.0,1.38,95.181
"Muscles; Duchenne Muscular Dystrophy; Skeletal Muscle",TC.385,458,4.7,-13.1,1.54,80.589
"Students; Science; Learning",TC.230,457,2.64,-20.4,1.23,70.75
"Blood; Blood Transfusion; Patients",TC.272,457,3.62,-13.3,1.99,74.297
"Finite Element Method; Galerkin Methods; Errors",TC.154,456,2.22,18.0,1.13,80.321
"Prime; Integer; Conjecture",TC.291,456,4.05,8.9,1.09,24.565
"Bacillus Thuringiensis; Aphidoidea; Aphids",TC.129,452,3.18,-5.4,1.27,82.396
"PPAR Gamma; AMP-Activated Protein Kinases; Lipids",TC.434,451,5.07,-17.4,1.42,80.723
"Polycystic Ovary Syndrome; Women; Oocytes",TC.253,449,3.56,10.5,1.66,77.711
"Glioma; Neoplasms; Glioblastoma",TC.222,448,2.54,16.5,1.74,86.546
"Genome; Neoplasms; Genes",TC.436,447,3.12,2.0,2.4,94.043
