Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Western Australia"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Galaxies; Stars; Planets",TC.1,716,1.11,59.5,3.98,99.264
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,50,0.06,-21.2,1.3,97.523
"Pneumothorax; Lung; Pleural Effusion",TC.693,50,0.79,-2.4,1.86,31.191
"DNA Methylation; Epigenomics; Neoplasms",TC.478,50,0.35,46.9,2.69,91.968
"HIV; HIV Infections; HIV-1",TC.17,50,0.12,197.2,1.95,96.386
"Retina; Neurons; Retinal Ganglion Cells",TC.856,50,2.08,32.0,0.98,35.877
"Vasodilation; Endothelium; Dilatation",TC.574,50,1.28,-12.7,1.55,40.361
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,50,0.12,6.3,3.38,99.398
"Melanesia; Anthropology; Australia",TC.645,50,0.78,-24.6,0.92,26.439
"Testosterone; Face; Behavior",TC.928,49,0.83,35.0,1.57,59.17
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,49,0.16,62.7,1.84,93.106
"Monetary Policy; Economic Growth; Exports",TC.21,49,0.12,-3.8,0.7,90.094
"Prostatic Neoplasms; Prostate; Prostatectomy",TC.141,48,0.2,31.6,1.67,94.779
"Alfalfa; Forage; Lolium Perenne",TC.997,48,2.1,36.3,1.24,23.561
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,48,0.13,0.7,1.27,96.185
"Depression; Bipolar Disorder; Major Depressive Disorder",TC.175,48,0.31,619.5,1.85,88.688
"Sports; Students; Athletes",TC.443,48,0.41,-6.2,2.2,73.293
"Dairy Cows; Cows; Mastitis",TC.136,48,0.3,-9.3,1.29,80.857
"Endometriosis; Ovarian Neoplasms; Endometrial Neoplasms",TC.60,48,0.17,-22.7,1.74,90.361
"Phytophthora; Trichoderma; Phytophthora Infestans",TC.425,47,0.67,-61.3,1.54,62.918
"Malaria; Plasmodium Falciparum; Parasites",TC.180,47,0.28,26.0,1.5,89.424
"Colorectal Neoplasms; Rectal Neoplasms; Patients",TC.93,47,0.16,-8.1,1.65,92.035
"Araneae; Spider; Arachnida",TC.685,47,1.14,-23.9,1.12,27.979
"Mitochondria; Mitochondrial DNA; Mutation",TC.320,47,0.41,-10.1,1.37,88.554
"Aquifers; Groundwater Resources; Groundwater Flow",TC.282,47,0.4,-33.0,1.39,80.187
"Brassica Napus; Brassicaceae; Brassica Rapa",TC.1268,47,2.01,-11.0,2.4,30.656
"Rivers; Fish; Streams",TC.149,46,0.31,4.3,2.13,82.53
"Earthquakes; Seismology; Seismic Response",TC.226,46,0.23,25.8,2.13,79.786
"Primates; Pan Troglodytes; Behavior",TC.350,46,0.51,-43.9,1.37,75.435
"Parkinson Disease; Deep Brain Stimulation; Patients",TC.102,46,0.18,-53.2,1.0,95.85
"Metagenome; Probiotics; Bacteria",TC.215,46,0.2,123.4,3.31,98.661
"Media; News; Journalism",TC.279,45,0.23,-24.3,4.25,81.593
"Sepsis; Acute Kidney Injury; Patients",TC.251,45,0.24,72.0,5.72,88.153
"Helicobacter Pylori; Gastroesophageal Reflux; Helicobacter Infections",TC.90,45,0.24,-24.2,1.03,85.944
"Microsatellite Repeats; Genetic Variation; Loci",TC.716,45,0.87,-36.9,1.4,49.732
"Industry; Innovation; Entrepreneurship",TC.24,45,0.1,208.5,1.75,97.256
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,45,0.15,9.6,1.41,97.59
"Delirium; Anesthesia; Propofol",TC.190,45,0.29,-11.5,4.16,80.79
"Formicidae; Hymenoptera; Ant",TC.260,45,0.4,-33.4,1.25,82.329
"Remote Sensing; Image Classification; Satellite Imagery",TC.153,45,0.16,136.0,1.41,95.114
"Abdominal Aortic Aneurysm; Aneurysm; Dissection",TC.287,45,0.33,18.1,2.1,60.843
"Orchidaceae; New Species; Dendrobium",TC.1258,44,1.55,105.1,2.14,24.967
"Vaccination; Vaccines; Immunization",TC.367,44,0.43,24.0,1.64,70.482
"Cells; Drosophila; Neoplasms",TC.110,44,0.19,72.0,1.09,94.645
"Indonesia; Malaysia; Thailand",TC.676,43,0.59,-3.5,1.03,24.9
"Vitiligo; Skin; Therapeutics",TC.523,43,0.53,60.0,2.2,62.115
"Non-Small-Cell Lung Carcinoma; Lung Neoplasms; Patients",TC.124,42,0.15,154.9,3.35,95.582
"Arthroplasty; Hip; Knee",TC.123,42,0.16,-11.5,0.94,87.349
"Lizards; Turtles; Frogs",TC.126,42,0.28,-38.9,0.93,76.506
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,42,0.15,117.6,1.26,95.448
"Breast Neoplasms; Genetic Testing; Risk",TC.587,41,0.41,-27.8,2.03,80.991
"Cystic Fibrosis; Cystic Fibrosis Transmembrane Conductance Regulator; Pseudomonas Aeruginosa",TC.641,41,0.62,184.3,2.2,67.537
"Memory; Episodic Memory; Learning",TC.448,41,0.43,11.3,1.18,73.226
"Criminals; Violence; Mental Health",TC.388,41,0.41,27.9,0.87,63.32
"Blood; Blood Transfusion; Patients",TC.272,40,0.32,-38.3,1.68,74.297
"Tea; Polyphenols; Anthocyanins",TC.294,39,0.22,48.7,1.42,94.11
"Ecosystem Services; Willingness To Pay; Valuation",TC.955,38,0.59,-32.8,4.49,76.64
"Semiconductor Quantum Dots; Semiconductor Quantum Wells; Gallium Arsenide",TC.59,38,0.2,-79.4,0.61,86.412
"Pharmacists; Pharmaceutical Preparations; Pharmacy",TC.199,38,0.2,-33.6,2.32,79.183
"Thyroid Neoplasms; Thyroid Gland; Thyroidectomy",TC.76,38,0.16,39.1,2.16,89.357
"Mussels; Bivalvia; Oysters",TC.244,38,0.37,-19.3,1.23,75.636
"Artificial Respiration; Adult Respiratory Distress Syndrome; Noninvasive Ventilation",TC.382,38,0.38,-21.8,1.58,71.218
"Reinforced Concrete; Concretes; Steel",TC.137,38,0.13,174.8,1.68,89.224
"Housing; Neighborhood; Gentrification",TC.281,37,0.25,56.4,1.24,74.565
"Seismic Waves; Seismology; Seismic Data",TC.371,37,0.23,-38.2,0.84,51.138
"Hydrates (Gas); Hydration; Methane",TC.1103,37,0.75,23.5,1.72,60.977
"Migration; Migrant; Immigrant",TC.419,37,0.3,56.0,2.83,59.572
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,36,0.05,-25.3,1.18,99.866
"Post-Traumatic Stress Disorders; Wounds And Injuries; Disasters",TC.283,36,0.22,-5.5,2.1,83.936
"Inflammatory Bowel Diseases; Crohn Disease; Ulcerative Colitis",TC.276,36,0.24,-39.7,4.43,85.877
"Microwaves; Permittivity; Scattering Parameters",TC.1123,36,0.97,-36.3,0.61,23.36
"Health; Delivery Of Health Care; Women",TC.424,35,0.25,-16.7,18.35,76.908
"Smoking; Tobacco Products; Smoking Cessation",TC.205,35,0.19,43.2,1.43,89.826
"Coal Deposits; Methane; Coal Mines",TC.1100,35,0.65,-25.1,2.61,43.976
"Opioid Analgesics; Pain; Prescriptions",TC.510,35,0.36,-51.2,2.32,78.916
"Chronic Renal Insufficiency; Renal Dialysis; Dialysis",TC.221,35,0.23,58.7,0.76,81.995
"Cytomegalovirus; Cytomegalovirus Infections; Herpes Zoster",TC.225,34,0.29,31.6,0.74,72.557
"Farmers; Smallholder; Farms",TC.621,34,0.54,-30.3,2.0,55.422
"Acoustics; Architectural Acoustics; Acoustic Waves",TC.647,34,0.45,-33.6,0.92,41.968
"Curcumin; Curcuma; Ginger",TC.1127,34,0.59,-,6.6,71.62
"Bacillus Thuringiensis; Aphidoidea; Aphids",TC.129,34,0.24,-35.3,1.41,82.396
"Mulching; Irrigation; Corn",TC.636,34,0.55,-29.6,2.34,51.071
"Candida; Infection; Candida Albicans",TC.115,33,0.17,-58.6,1.36,85.207
"Uterine Cervical Neoplasms; Papillomavirus Infections; Women",TC.189,33,0.19,650.4,1.22,83.802
"Calcium; Calcium Signaling; Ion Channels",TC.232,33,0.31,230.7,1.51,78.112
"Women; Erectile Dysfunction; Testosterone",TC.194,33,0.25,39.8,1.54,77.443
"Particulate Matter; Air Pollution; Air Pollutants",TC.431,33,0.27,50.0,1.16,89.09
"Phase Equilibria; Binary Mixtures; Equations Of State",TC.135,33,0.24,285.5,0.96,85.141
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,33,0.04,-22.6,1.35,98.461
"Brain-Derived Neurotrophic Factor; Neurogenesis; Neurons",TC.161,32,0.21,30.2,0.77,89.692
"Whales; Dolphins; Seals",TC.516,32,0.43,18.4,3.74,85.274
"Magnetic Resonance Imaging; Brain; Diffusion",TC.181,32,0.15,-51.8,1.35,93.373
"Mental Health; Psychiatry; Depression",TC.661,32,0.4,924.2,1.15,61.847
"Memristors; MOSFET Devices; Data Storage Equipment",TC.131,32,0.13,-22.0,1.55,90.295
"Polycystic Ovary Syndrome; Women; Oocytes",TC.253,32,0.25,-40.2,2.03,77.711
"Estimator; Models; Variable Selection",TC.74,32,0.11,-54.2,0.92,83.601
"Algorithms; Computer Graphics; Surfaces",TC.228,32,0.21,15.9,1.12,61.178
"Omega-3 Fatty Acids; Docosahexaenoic Acids; Unsaturated Fatty Acids",TC.600,32,0.46,-1.7,1.86,74.498
"Syphilis; Chlamydia Trachomatis; Infection",TC.348,32,0.35,-12.0,2.72,66.399
"Rumen; Dairy Cows; Rumen Fermentation",TC.168,31,0.24,28.7,1.68,76.305
"Synchronization; Chaotic Systems; Chaos Theory",TC.210,31,0.17,43.7,1.34,85.408
"Lymphoma; Diffuse Large B-Cell Lymphoma; Patients",TC.62,31,0.12,95.5,1.06,90.428
"Student; Education; Learning",TC.913,31,0.5,-4.2,1.82,37.483
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,31,0.09,77.8,1.42,99.063
"Intubation; Airway Management; Intratracheal Intubation",TC.470,31,0.35,99.2,1.73,50.201
"Microfinance; Farmers; Cooperative",TC.532,30,0.34,-65.4,0.74,57.764
"Teacher; School; Education",TC.150,30,0.14,-54.5,1.12,74.967
"Wind Turbines; Wind Power; Asynchronous Generators",TC.423,30,0.16,-53.1,2.85,85.609
"Ligands; Crystal Structure; Organometallics",TC.71,30,0.09,85.9,0.95,99.331
"Glioma; Neoplasms; Glioblastoma",TC.222,30,0.17,106.4,2.43,86.546
"Asteroids; Comets; Mars",TC.133,30,0.2,-36.1,0.65,86.747
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,30,0.06,-12.8,1.07,99.799
"Rangelands; Grasslands; Savannas",TC.767,30,0.58,-43.4,1.4,61.245
"Shoulder; Rotator Cuff; Tendons",TC.241,30,0.16,-24.4,2.08,77.242
"Cadmium Telluride; Cadmium Alloys; Infrared Detectors",TC.951,30,1.03,-45.8,0.63,19.946
"Cholesteatoma; Ear; Otitis Media",TC.681,30,0.59,67.1,1.05,22.289
"Sarcopenia; Patients; Aged",TC.782,30,0.31,-50.6,2.68,82.129
"Carnivores; Ungulates; Deer",TC.224,30,0.23,30.6,1.13,81.124
"Surgery; Needles; Robotics",TC.752,30,0.39,-41.8,1.84,56.091
"Methods; Test; Psychometrics",TC.962,30,0.55,-62.2,1.11,39.424
"Folic Acid; Homocysteine; Vitamin B 12",TC.378,30,0.35,-58.1,2.28,72.825
"Genome; Neoplasms; Genes",TC.436,29,0.2,59.8,2.91,94.043
"Emergencies; Patients; Hospitals",TC.675,29,0.35,-30.6,1.45,57.965
"Students; Science; Learning",TC.230,29,0.17,11.4,1.45,70.75
"Insulators; Quantum Dots; Spin",TC.186,29,0.16,49.5,1.29,93.775
"Flora; Grasslands; Italy",TC.706,29,0.73,66.2,1.72,30.924
"Decoding; Construction; Polynomials",TC.766,29,0.48,17.9,0.36,22.557
"Health; Costs And Cost Analysis; Neoplasms",TC.584,28,0.26,106.9,4.42,72.892
"Ankle; Foot; Diabetic Foot",TC.319,28,0.21,72.2,0.87,66.801
"Data Envelopment Analysis; Banks; Efficiency",TC.384,28,0.21,94.1,1.22,79.25
"Pregnancy; Depression; Postpartum Depression",TC.1028,28,0.59,68.9,1.0,57.631
"Shape Memory Effect; Martensitic Transformations; Martensite",TC.688,28,0.41,-66.0,0.84,66.332
"Verification; Model Checking; Semantics",TC.96,28,0.12,119.3,0.85,70.549
"Breast Neoplasms; Early Detection Of Cancer; Women",TC.595,28,0.31,43.1,1.3,75.033
"Kant; Theory; Epistemic",TC.152,28,0.12,128.1,1.44,50.87
"Morals; Research; Behavior",TC.267,28,0.15,2.8,1.83,88.019
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,28,0.19,24.9,1.6,78.581
"Great Britain; Eighteenth Century; Nineteenth Century",TC.480,28,0.36,187.2,0.62,16.667
"Breads; Starch; Glutens",TC.169,28,0.16,-54.9,1.01,91.299
"Systemic Lupus Erythematosus; Systemic Scleroderma; Patients",TC.162,27,0.17,-100.0,1.62,84.003
"Basin; Reservoir; Shale",TC.213,27,0.17,-87.0,0.97,77.577
"Shoots; Explants; Callus",TC.290,27,0.36,340.4,1.09,49.866
"Heart Failure; Patients; Brain Natriuretic Peptide",TC.300,27,0.22,32.3,4.75,84.739
"Multiple Sclerosis; Patients; Neuromyelitis Optica",TC.304,27,0.18,57.5,2.83,87.952
"Reservoirs (Water); Oil Well Flooding; Hydraulic Fracturing",TC.164,27,0.1,116.9,1.9,84.07
"Tuberculosis; Mycobacterium Tuberculosis; Multidrug-Resistant Tuberculosis",TC.72,27,0.1,-20.4,0.99,91.232
"Radiotherapy; Radiation; Intensity-Modulated Radiotherapy",TC.322,27,0.2,-44.2,1.32,71.017
"Mental Health; Homeless Persons; Mental Health Services",TC.499,27,0.36,-33.8,0.44,53.28
"Fatty Liver; Liver Diseases; Alcoholic Fatty Liver",TC.1042,26,0.38,-23.4,4.81,77.175
"Emigrants And Immigrants; Hispanic Americans; Acculturation",TC.646,26,0.31,65.0,1.24,61.513
"Water; Water Resources; Water Management",TC.527,26,0.25,-54.6,1.95,79.585
"Exercise; Hot Temperature; Athletes",TC.756,26,0.46,15.1,2.04,56.894
"Disasters; Floods; Risks",TC.438,26,0.17,214.7,1.37,83.467
"MEMS; Gyroscopes; Resonators",TC.246,25,0.15,-73.5,0.52,78.983
"Atomic Force Microscopy; Self Assembled Monolayers; Molecules",TC.345,25,0.24,757.8,1.35,84.137
"Insulin; Insulin-Secreting Cells; Islets Of Langerhans",TC.331,25,0.26,-6.8,0.97,82.062
"Atomic Clocks; Rubidium; Frequency Standards",TC.590,25,0.32,-20.5,1.16,53.347
"Plants; Rhizosphere; Rhizobium",TC.488,25,0.29,278.1,1.38,83.4
"Offense; Police; Offender",TC.207,25,0.14,35.8,1.36,75.234
"Structural Health Monitoring; Damage Detection; Modal Analysis",TC.514,24,0.21,-86.0,1.42,69.746
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,24,0.11,83.5,1.55,91.165
"Attention Deficit Disorder With Hyperactivity; Child; Methylphenidate",TC.721,24,0.35,493.4,0.93,67.805
"Analgesia; Nerve Block; Bupivacaine",TC.305,24,0.21,6.4,2.36,64.324
"China; Chinese; Hong Kong",TC.471,24,0.23,-39.4,0.69,48.862
"China; Asia; Chinese",TC.495,24,0.23,74.4,1.24,42.503
"Pain; Neuralgia; Chronic Pain",TC.140,23,0.12,113.7,1.13,90.562
"Kaolinite; Clay Minerals; Nanotubes",TC.815,23,0.44,-100.0,0.94,69.21
"Electrospinning; Nanofibers; Spinning (Fibers)",TC.834,23,0.25,-84.9,1.32,85.475
"Traffic Control; Transportation; Models",TC.107,23,0.06,592.3,0.84,93.708
"Accident Prevention; Accidents; Safety Engineering",TC.638,23,0.29,107.9,1.76,54.284
"Telemedicine; Technology; Patients",TC.851,23,0.38,295.3,1.57,50.535
"Liver Transplantation; Liver; Fibrosis",TC.144,22,0.12,178.9,1.38,81.526
"Patents; Copyright; Intellectual Property",TC.586,22,0.32,-48.9,0.3,28.715
"Intelligence; Child; Psychology",TC.760,22,0.45,4.9,2.27,43.909
"Forest; Deforestation; Conservation",TC.663,22,0.25,4.2,1.41,75.1
"Students; Learning; Teaching; Course",TC.684,22,0.36,-85.9,2.31,36.881
"Hydrodynamics; Boundary Element Method; Functions",TC.1058,22,0.41,25.2,1.92,54.819
"Kisspeptins; Gonadotropin-Releasing Hormone; Estradiol",TC.379,22,0.42,22.5,1.48,58.701
"Women; Cesarean Section; Parturition",TC.397,22,0.19,-100.0,2.3,67.202
"Oxytocin; Hydrocortisone; Anxiety",TC.432,22,0.26,73.0,1.26,82.664
"Leishmania; Visceral Leishmaniasis; Trypanosoma Cruzi",TC.261,22,0.2,233.2,1.16,77.376
"Catalysts; Zeolites; Hydrogenation",TC.7,22,0.04,-33.8,2.14,99.732
"Aspirin; Inflammation; Cyclooxygenase 2",TC.618,22,0.41,160.4,1.72,65.797
"Cells; Neoplasms; Hydrogels",TC.166,21,0.09,221.1,2.26,97.055
"Catheters; Renal Dialysis; Central Venous Catheters",TC.651,21,0.27,-,1.56,43.307
"Fluorescence; Probes; Supramolecular Chemistry",TC.248,21,0.1,-16.3,0.71,97.992
"Hernia; Herniorrhaphy; Laparoscopy",TC.395,21,0.2,381.8,1.85,56.158
"Obesity; Leptin; Adiponectin",TC.257,21,0.12,11.7,1.84,91.633
"Arsenic; Arsenate; Iron Oxides",TC.569,21,0.23,-59.0,1.66,84.471
"Tsunamis; Earthquakes; Geophysics",TC.748,21,0.35,380.6,1.21,59.438
