Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Southampton"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Galaxies; Stars; Planets",TC.1,874,1.36,27.0,4.01,99.264
"Acoustics; Architectural Acoustics; Acoustic Waves",TC.647,88,1.17,-11.5,1.29,41.968
"Ligands; Crystal Structure; Organometallics",TC.71,88,0.27,-2.1,1.43,99.331
"Arthroplasty; Hip; Knee",TC.123,87,0.34,49.8,1.99,87.349
"Forests; Landscapes; Plants",TC.151,87,0.4,237.0,3.33,94.712
"Traffic Control; Transportation; Models",TC.107,87,0.25,-19.2,1.53,93.708
"Graphene; Carbon Nanotubes; Nanotubes",TC.22,86,0.12,15.6,1.52,99.866
"Benthic Foraminifera; Planktonic Foraminifera; Paleoceanography",TC.773,85,2.1,19.1,2.51,59.371
"Angular Momentum; Gaussian Beams; Beams (Radiation)",TC.422,85,0.69,1.4,0.92,74.699
"Fluorescence; Probes; Supramolecular Chemistry",TC.248,85,0.4,-37.3,2.56,97.992
"Spine; Patients; Low Back Pain",TC.23,85,0.2,-37.9,1.37,93.039
"Data Storage Equipment; Program Processors; Applications",TC.92,83,0.28,424.5,1.69,81.928
"Orbits; Spacecraft; Satellites",TC.493,83,0.75,-21.3,1.56,54.552
"Composite Materials; Laminates; Fiber Reinforced Plastics",TC.183,83,0.43,-28.0,1.24,86.613
"Climate Models; Model; Rainfall",TC.5,81,0.13,27.7,1.86,98.929
"Mussels; Bivalvia; Oysters",TC.244,81,0.79,26.8,2.26,75.636
"Secondary Batteries; Electric Batteries; Lithium Alloys",TC.30,80,0.11,-21.4,1.78,100.0
"Eye; Optical Coherence Tomography; Macular Degeneration",TC.33,80,0.21,50.0,3.73,94.578
"Microbial Fuel Cells; Anaerobic Digestion; Bioreactors",TC.65,80,0.22,-40.7,1.52,99.063
"Kant; Theory; Epistemic",TC.152,80,0.34,93.6,2.55,50.87
"Breast Neoplasms; Genetic Testing; Risk",TC.587,79,0.8,12.0,3.12,80.991
"Wireless Sensor Networks; Sensor Nodes; Routing Protocols",TC.27,79,0.13,120.6,2.68,96.519
"Attention Deficit Disorder With Hyperactivity; Child; Methylphenidate",TC.721,78,1.15,52.8,2.07,67.805
"Omega-3 Fatty Acids; Docosahexaenoic Acids; Unsaturated Fatty Acids",TC.600,78,1.13,12.4,2.97,74.498
"Industry; Innovation; Entrepreneurship",TC.24,76,0.16,72.9,2.34,97.256
"Dinosaur; Cretaceous; Fossils",TC.375,76,1.25,-56.0,1.64,58.099
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,75,0.14,64.7,1.08,99.799
"Work; Personality; Psychology",TC.29,75,0.19,-27.5,1.61,96.452
"Magnetic Fields; Ionospheres; Sunspots",TC.31,74,0.3,175.6,0.98,87.282
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,73,0.32,37.6,2.12,91.165
"Party; Election; Voter",TC.172,72,0.31,8.5,2.26,78.179
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,72,0.3,108.9,3.4,93.976
"Fossils; Pleistocene; Paleolithic",TC.127,71,0.49,49.8,1.67,80.522
"Schizophrenia; Psychotic Disorders; Antipsychotic Agents",TC.80,71,0.31,10.1,2.14,92.236
"Nurses; Nursing; Students",TC.212,70,0.45,113.5,4.09,68.273
"Fisheries; Sharks; Fish",TC.63,70,0.32,-66.6,1.77,90.228
"Energy Harvesting; Harvesters; Piezoelectricity",TC.1142,69,0.96,-25.4,1.71,62.45
"Industry; Research; Marketing",TC.36,69,0.18,65.0,1.42,96.586
"DNA Methylation; Epigenomics; Neoplasms",TC.478,68,0.48,91.8,2.21,91.968
"Cambrian; Cretaceous; Ordovician",TC.44,68,0.59,-13.2,1.6,75.502
"Electricity; Energy; Economics",TC.81,68,0.19,-26.6,2.15,98.594
"Malnutrition; Enteral Nutrition; Patients",TC.313,67,0.63,-0.9,1.57,71.285
"Corals; Coral Reefs; Cnidaria",TC.399,66,0.78,17.3,2.51,80.388
"Attention; Brain; Learning",TC.10,66,0.15,-9.4,1.14,98.193
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,66,0.33,33.6,2.78,89.625
"Holography; Holograms; Computer Generated Holography",TC.335,65,0.5,90.7,1.19,68.072
"Models; Social Networking (Online); Algorithms",TC.358,65,0.27,-42.6,0.94,89.023
"Electrodeposition; Composite Coatings; Electroless Plating",TC.503,65,1.01,87.1,1.15,55.622
"Liquid Crystals; Nematic Liquid Crystals; Liquid Crystal Displays",TC.220,64,0.56,-19.0,1.83,81.325
"Corporate Social Responsibility; Corporate Governance; Firms",TC.56,60,0.19,-21.3,1.51,92.905
"Piles; Soils; Geotechnical Engineering",TC.64,60,0.17,-5.7,1.62,87.684
"Health; Delivery Of Health Care; Women",TC.424,60,0.43,-25.0,10.04,76.908
"MEMS; Gyroscopes; Resonators",TC.246,59,0.36,-16.6,1.02,78.983
"Electric Power Transmission Networks; Wind Power; Electric Power Distribution",TC.28,59,0.09,-3.9,2.74,99.13
"Wings; Aircraft; Aerodynamics",TC.714,59,0.73,81.1,2.2,51.807
"Morals; Research; Behavior",TC.267,58,0.31,-14.3,1.3,88.019
"Students; Medical Students; Education",TC.43,57,0.14,-48.9,1.27,91.901
"Monetary Policy; Economic Growth; Exports",TC.21,57,0.14,42.1,0.94,90.094
"Electric Potential; Electric Inverters; DC-DC Converters",TC.13,57,0.08,-25.9,1.49,98.461
"Nuclear Magnetic Resonance; Nuclear Magnetic Resonance Spectroscopy; Biomolecular Nuclear Magnetic Resonance",TC.737,57,1.17,18.6,1.28,65.462
"Anti-Bacterial Agents; Infection; Methicillin-Resistant Staphylococcus Aureus",TC.16,56,0.12,11.4,1.56,98.26
"Phase Matching; Optical Parametric Oscillators; Lithium",TC.632,56,1.23,-30.3,0.43,33.601
"Ships; Propellers; Hydrodynamics",TC.749,54,0.78,-25.0,0.73,34.27
"Human Influenza; Orthomyxoviridae; Influenza Vaccines",TC.147,54,0.23,788.8,1.56,91.432
"Acute Myeloid Leukemia; Patients; Precursor Cell Lymphoblastic Leukemia-Lymphoma",TC.134,54,0.24,-60.3,5.36,92.436
"Health; Costs And Cost Analysis; Neoplasms",TC.584,53,0.49,72.4,1.78,72.892
"Delivery Of Health Care; Patients; Hospitals",TC.160,53,0.25,-7.2,2.85,86.078
"Migration; Migrant; Immigrant",TC.419,53,0.43,38.6,1.37,59.572
"Microtubules; Cilia; Phosphotransferases",TC.393,52,0.46,3.5,2.61,85.074
"Biosensors; Electrodes; Voltammetry",TC.128,51,0.19,-37.7,0.97,98.996
"Catalysts; Zeolites; Hydrogenation",TC.7,51,0.1,43.5,0.99,99.732
"Classification (Of Information); Learning Systems; Algorithms",TC.195,50,0.2,138.4,1.43,88.487
"Database Systems; Ontology; Query Processing",TC.143,50,0.18,54.5,0.95,86.881
"Basin; Reservoir; Shale",TC.213,49,0.31,82.6,2.09,77.577
"Tuberculosis; Mycobacterium Tuberculosis; Multidrug-Resistant Tuberculosis",TC.72,48,0.17,91.1,2.03,91.232
"Surface Emitting Lasers; Semiconductor Lasers; High Power Lasers",TC.660,48,0.9,-75.2,0.73,29.518
"Asteroids; Comets; Mars",TC.133,48,0.32,-,1.78,86.747
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,47,0.05,124.4,2.36,99.933
"Neolithic; Bronze Age; Iron Age",TC.354,47,0.75,40.5,3.66,20.348
"Child; Adolescent; Schools",TC.99,47,0.17,29.1,1.15,93.307
"Wounds And Injuries; Pressure Ulcer; Bandages",TC.372,47,0.45,-18.7,2.07,66.667
"Pain; Neuralgia; Chronic Pain",TC.140,47,0.24,-26.7,1.22,90.562
"Rivers; Scour; Sediment Transport",TC.468,46,0.5,-20.7,2.43,67.671
"Emergencies; Patients; Hospitals",TC.675,46,0.55,108.3,1.97,57.965
"Teachers; Language; Student",TC.265,45,0.23,-3.8,2.6,73.36
"Rivers; Fish; Streams",TC.149,45,0.3,62.3,1.55,82.53
"Teacher; School; Education",TC.150,45,0.21,-80.5,2.61,74.967
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,44,0.14,-14.2,2.04,93.106
"Criminals; Violence; Mental Health",TC.388,44,0.45,-50.3,1.94,63.32
"Personality; Borderline Personality Disorder; Personality Disorders",TC.689,44,0.64,72.0,2.01,62.985
"Disasters; Floods; Risks",TC.438,43,0.28,-10.1,2.17,83.467
"Family; Woman; Marriage",TC.500,43,0.54,68.2,1.48,47.992
"Learning; Students; Education",TC.557,42,0.47,-82.5,1.06,50.937
"Spinal Cord Injuries; Wheelchairs; Rehabilitation",TC.841,42,0.67,-85.6,9.31,52.677
"Vehicle Routing; Algorithms; Vehicles",TC.931,42,0.63,-1.9,3.28,62.182
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,41,0.1,-27.5,2.07,99.398
"Research; Clinical Trials As Topic; Patients",TC.463,41,0.4,-48.7,1.67,62.048
"Malaria; Plasmodium Falciparum; Parasites",TC.180,40,0.24,41.7,2.42,89.424
"Cloud Computing; Clouds; Distributed Computer Systems",TC.70,40,0.1,-41.6,3.58,93.173
"Idiopathic Pulmonary Fibrosis; Interstitial Lung Diseases; Langerhans-Cell Histiocytosis",TC.673,40,0.55,35.3,4.48,59.639
"Quantum Chemistry; Density Functional Theory; Molecular Orbitals",TC.145,39,0.23,-50.6,1.23,91.365
"Finite Element Method; Galerkin Methods; Errors",TC.154,39,0.19,24.6,1.14,80.321
"Sleep; Obstructive Sleep Apnea; Sleep Apnea Syndromes",TC.78,39,0.13,43.6,1.84,95.783
"Magnetic Anisotropy; Magnetization; Magnetism",TC.105,38,0.18,76.7,1.6,93.44
"Design; Networks (Circuits); Field Programmable Gate Arrays (FPGA)",TC.148,38,0.2,67.9,0.85,62.784
"Optical Communication; Light Emitting Diodes; Atmospheric Turbulence",TC.796,38,0.39,101.6,2.34,58.434
"Gastropoda; Mollusca; Bivalvia",TC.888,38,1.83,28.4,1.89,18.206
"Cryptography; Authentication; Data Privacy",TC.84,37,0.09,946.8,2.41,93.24
"Hypertension; Rats; Baroreflex",TC.804,37,1.41,695.2,3.41,41.031
"Insulators; Quantum Dots; Spin",TC.186,37,0.21,-63.1,0.74,93.775
"Vibration Control; Magnetorheological Fluids; Automobile Suspensions",TC.652,37,0.44,-43.7,1.43,59.705
"Lipid Bilayers; Membranes; Lipids",TC.529,37,0.54,164.8,1.32,79.317
"Permanent Magnets; Induction Motors; Synchronous Motors",TC.118,37,0.12,18.2,1.36,87.818
"Student; Education; Learning",TC.913,37,0.59,-57.4,3.24,37.483
"Hydrates (Gas); Hydration; Methane",TC.1103,36,0.73,-49.5,1.18,60.977
"Nursing Homes; Long-Term Care; Caregivers",TC.482,36,0.43,35.2,1.21,57.095
"Fatty Liver; Liver Diseases; Alcoholic Fatty Liver",TC.1042,36,0.52,-61.7,4.3,77.175
"Breast Feeding; Mothers; Infant",TC.552,36,0.38,39.1,1.26,64.458
"Women; Erectile Dysfunction; Testosterone",TC.194,36,0.27,151.6,2.24,77.443
"Students; Teaching; Education; E-Learning",TC.200,35,0.15,44.6,1.32,86.278
"Design; Human Computer Interaction; Augmented Reality",TC.231,35,0.14,-19.3,1.21,82.865
"Ligands; Ruthenium; Catalysts",TC.75,35,0.21,74.0,0.89,97.791
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,35,0.11,4.7,1.98,97.59
"Media; News; Journalism",TC.279,35,0.18,-49.5,1.78,81.593
"Buckling; Vibration Analysis; Functionally Graded Materials",TC.240,35,0.25,17.6,1.28,81.861
"RNA; Ribosomes; Proteins",TC.171,34,0.2,37.5,0.92,95.315
"Alcohols; Cannabis; Drinking",TC.174,34,0.2,-31.8,3.02,84.94
"Colorectal Neoplasms; Rectal Neoplasms; Patients",TC.93,34,0.12,102.1,2.4,92.035
"Child; Geography; Research",TC.596,34,0.36,-24.6,1.38,49.398
"Health; Socioeconomic Factors; Mortality",TC.537,34,0.34,75.3,1.45,75.301
"Archaeology; Shipwrecks; Archaeological",TC.990,34,0.81,15.7,1.76,11.446
"Supply Chains; Supply Chain Management; Industry",TC.146,34,0.13,32.6,1.64,95.382
"Exercise; Athletes; Muscles",TC.100,34,0.12,115.5,1.11,92.369
"Buildings; Air Conditioning; Ventilation",TC.176,33,0.12,34.5,2.35,95.248
"Tsunamis; Earthquakes; Geophysics",TC.748,33,0.54,-77.8,1.38,59.438
"Parkinson Disease; Deep Brain Stimulation; Patients",TC.102,33,0.13,118.3,1.53,95.85
"Nanocrystals; Semiconductor Quantum Dots; Zinc Sulfide",TC.177,33,0.13,-63.3,1.22,97.456
"Wind Turbines; Wind Power; Asynchronous Generators",TC.423,32,0.17,-27.1,1.67,85.609
"Health Literacy; Patients; Internet",TC.717,32,0.33,-27.3,2.53,69.612
"Volcanoes; Volcanic Eruption; Volcanology",TC.465,32,0.48,-10.0,0.99,70.415
"Chronic Renal Insufficiency; Renal Dialysis; Dialysis",TC.221,32,0.21,197.5,1.13,81.995
"Pharmaceutical Preparations; Nanoparticles; Tablets",TC.82,32,0.11,-61.0,3.09,97.39
"Finite Group; Subgroup; Group",TC.855,32,0.7,-82.7,0.97,5.087
"Child; Malnutrition; Food",TC.934,32,0.61,-26.7,2.6,55.489
"Harmonic Generation; Crystals; Nonlinear Optics",TC.1376,32,1.29,39.6,1.94,42.436
"Industry; Web Services; Models",TC.327,32,0.23,-63.9,1.14,72.088
"Water Distribution Systems; Water Supply Systems; Pipelines",TC.943,31,0.5,-6.0,0.91,50.736
"Smoking; Tobacco Products; Smoking Cessation",TC.205,31,0.16,-18.2,1.46,89.826
"Nurses; Nurse Practitioners; Nursing",TC.839,31,0.57,181.0,3.7,35.141
"Silicon Solar Cells; Solar Cells; Silicon",TC.97,31,0.15,41.7,1.35,88.889
"Dengue; Viruses; Dengue Virus",TC.170,31,0.13,515.8,6.13,98.327
"Martin Heidegger; Nietzsche; Phenomenology",TC.546,31,0.28,-67.2,1.51,22.222
"Computer Crime; Network Security; Intrusion Detection",TC.218,31,0.11,55.7,1.53,88.822
"Proton Exchange Membrane Fuel Cells (PEMFC); Electrocatalysts; Electrolytic Reduction",TC.229,31,0.16,-53.3,1.29,96.988
"Combustion; Combustors; Ignition",TC.256,30,0.19,-60.6,1.11,87.55
"Arabidopsis; Plants; Genes",TC.11,30,0.07,157.4,1.67,98.862
"Optimization; Uncertainty Analysis; Reliability Analysis",TC.683,30,0.33,-81.9,0.99,60.107
"Intelligence; Child; Psychology",TC.760,30,0.62,22.3,1.83,43.909
"Brain Injuries; Wounds And Injuries; Patients",TC.258,30,0.18,-64.6,0.94,87.015
"Mesenchymal Stromal Cells; Stem Cells; Induced Pluripotent Stem Cells",TC.163,30,0.1,-27.7,1.76,97.657
"Autophagy; Sirolimus; Neoplasms",TC.627,30,0.22,-59.1,4.31,92.57
"Multi Agent Systems; Motion Planning; Robots",TC.285,29,0.13,3.8,1.83,87.416
"Wings; Elastomers; Micro Air Vehicle (MAV)",TC.1032,29,0.44,253.9,0.99,61.446
"Offense; Police; Offender",TC.207,29,0.16,-0.4,1.88,75.234
"Superconducting Magnets; High Temperature Superconductors; Critical Current Density (Superconductivity)",TC.778,29,0.47,44.4,1.09,41.566
"Mangrove; Wetlands; Seagrass",TC.585,29,0.41,-9.5,2.81,72.691
"Surveys; Data Collection; Interview",TC.1093,29,0.66,111.9,1.37,33.467
"Justice; Theory; Human Rights",TC.570,29,0.29,-76.4,1.04,39.759
"Atoms; Bose-Einstein Condensates; Gases",TC.332,29,0.27,-60.9,1.04,81.392
"Autonomous Underwater Vehicles; Underwater Acoustics; Remotely Operated Vehicles",TC.1150,29,0.55,567.0,1.23,37.082
"X Ray Optics; Phase Contrast; Synchrotron Radiation",TC.746,29,0.44,131.4,1.22,56.024
"Fatigue Of Materials; Fatigue Testing; Fatigue Crack Propagation",TC.344,29,0.24,16.1,0.67,64.993
"Data Envelopment Analysis; Banks; Efficiency",TC.384,29,0.21,-5.0,1.55,79.25
"Ankle; Foot; Diabetic Foot",TC.319,29,0.22,18.4,0.7,66.801
"Governance; Government; Public Services",TC.611,29,0.37,18.5,1.71,54.685
"Neisseria Meningitidis; Meningococcal Vaccines; Siderophores",TC.1002,28,0.82,33.1,1.75,44.177
"Complementary Therapies; Homeopathy; Patients",TC.474,28,0.37,-3.0,2.09,52.276
"Optical Tomography; Photoacoustic Effect; Tomography",TC.398,28,0.2,-100.0,0.86,80.455
"Breast Neoplasms; Patients; Mammography",TC.89,28,0.11,-1.8,1.97,90.897
"Damping; Bolts; Structural Dynamics",TC.1063,28,0.6,-12.6,1.32,31.392
"Roman; Rome; Ancient",TC.114,28,0.21,33.8,1.6,11.178
"Depression; Bipolar Disorder; Major Depressive Disorder",TC.175,28,0.18,-57.4,1.05,88.688
"Terahertz Waves; Terahertz Spectroscopy; Millimeter Waves",TC.701,28,0.34,-65.4,0.48,54.083
"Image Coding; Video Signal Processing; Image Compression",TC.250,28,0.24,-100.0,1.28,50.602
"Wastes; Solid Wastes; Municipal Solid Waste",TC.703,28,0.32,-47.1,1.68,79.719
"Ecosystem Services; Willingness To Pay; Valuation",TC.955,28,0.44,124.1,3.23,76.64
"Mental Health; Homeless Persons; Mental Health Services",TC.499,27,0.36,278.5,1.73,53.28
"Altitude; Anoxia; Altitude Sickness",TC.1246,27,0.93,-2.9,1.02,25.167
"Genome-Wide Association Study; Single Nucleotide Polymorphism; Genes",TC.592,27,0.27,-52.1,2.0,84.203
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,27,0.07,106.5,3.04,94.913
"Sepsis; Acute Kidney Injury; Patients",TC.251,26,0.14,36.8,3.44,88.153
"Water; Water Resources; Water Management",TC.527,26,0.25,-54.6,2.29,79.585
"Bearings (Machine Parts); Rolling; Wear Of Materials",TC.1463,26,1.42,17.9,3.01,11.78
"Reinforced Concrete; Concretes; Steel",TC.137,26,0.09,94.0,0.76,89.224
"Corrosion; Carbon Steel; Corrosion Inhibitors",TC.196,26,0.16,36.4,0.83,82.463
"Telemedicine; Technology; Patients",TC.851,26,0.43,-50.6,4.83,50.535
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,26,0.09,64.9,0.84,95.448
"Great Britain; Eighteenth Century; Nineteenth Century",TC.480,25,0.32,-100.0,1.32,16.667
"Software Engineering; Models; Software Design",TC.49,25,0.07,97.7,1.44,90.964
"Violence; Women; Child",TC.310,25,0.18,132.7,0.87,78.782
"Design Of Experiments; Design; Optimization",TC.1327,25,1.1,117.5,1.37,6.961
"Identification (Control Systems); Models; Algorithms",TC.864,25,0.45,-36.1,0.46,45.783
"Polymerization; Ethylene; Ligands",TC.360,25,0.42,13.8,0.7,70.95
"Roofs; Heat Island; Buildings",TC.622,25,0.25,0.3,1.47,84.404
"Underwater Acoustics; Sonar; Acoustic Fields",TC.1126,25,0.74,-10.8,1.18,15.328
"Speech; Speech Recognition; Models",TC.156,25,0.11,-42.6,1.0,82.999
"Proteomics; Mass Spectrometry; Proteins",TC.227,25,0.15,-85.2,1.85,92.503
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,25,0.09,-21.9,2.19,93.641
"Artificial Intelligence; Algorithms; Semantics",TC.411,25,0.23,-47.8,1.31,52.878
"Housing; Neighborhood; Gentrification",TC.281,25,0.17,-66.5,1.91,74.565
"Music; Opera; Composer",TC.893,24,0.44,-78.1,0.41,1.339
"Eye; Glaucoma; Cataract",TC.19,24,0.07,38.4,1.64,90.83
"Crabs; Decapoda; Lobsters",TC.328,24,0.4,-20.9,0.75,45.582
"Electrocardiography; Heart; Monitoring",TC.792,24,0.28,-82.1,1.78,61.78
"Landslides; Debris Flow; Slope Stability",TC.553,24,0.23,140.0,1.92,69.076
"Mental Health; Psychiatry; Depression",TC.661,24,0.3,6.7,1.86,61.847
"Magnesium Alloys; Alloys; Aluminum Alloys",TC.106,24,0.09,206.7,1.28,91.834
"Research; Data; Information Dissemination",TC.1257,24,0.43,145.6,1.82,66.867
"Soil; Biochar; Soil Organic Carbon",TC.35,24,0.07,27.2,3.59,98.059
"Art; Aesthetics; Kierkegaard",TC.695,24,0.28,-44.5,2.05,24.23
"Students; Education; Teaching",TC.542,24,0.19,-11.4,1.22,74.833
"Matrix Metalloproteinases; Matrix Metalloproteinase 9; Metalloproteases",TC.900,24,0.5,93.6,1.75,53.815
"Syndrome; Intellectual Disability; Genes",TC.441,24,0.31,-87.0,1.34,55.823
"Heart Arrest; Cardiopulmonary Resuscitation; Out-Of-Hospital Cardiac Arrest",TC.496,23,0.23,-64.8,1.4,70.884
"Premature Infant; Infant (Newborn); Neonatal Intensive Care Units",TC.299,23,0.18,-13.4,1.35,77.309
"Industry; Information Systems; Research",TC.254,23,0.14,28.0,2.83,76.238
"Fiber Optic Networks; Quality Of Service; Network Architecture",TC.95,23,0.09,-72.3,2.1,87.216
"Genes; Gene Regulatory Networks; Gene Expression",TC.362,23,0.13,-50.0,0.93,90.495
"Design; Human Computer Interaction; Websites",TC.742,23,0.29,-52.8,0.79,54.15
"Systems Engineering; Design; Models",TC.631,23,0.31,-82.7,2.28,46.988
"Proteins; Molecular Dynamics Simulation; Molecular Dynamics",TC.108,23,0.1,35.1,2.59,94.846
"Endometriosis; Ovarian Neoplasms; Endometrial Neoplasms",TC.60,23,0.08,183.4,1.68,90.361
"Syphilis; Chlamydia Trachomatis; Infection",TC.348,23,0.25,-37.2,1.68,66.399
"Spermatozoa; Semen; Oocytes",TC.94,23,0.13,-62.8,2.11,84.337
"Biofuels; Biomass; Bioenergy",TC.490,23,0.25,-33.1,2.23,81.459
"Psychology; Well-Being; Happiness",TC.713,23,0.28,6.1,1.98,65.663
"Magnetron Sputtering; Nitriding; Coatings",TC.369,22,0.22,-19.5,0.82,72.289
"Sensors; Accelerometers; Smartphones",TC.880,22,0.22,394.6,2.9,69.813
"International Relations; Security; Politics",TC.548,22,0.24,239.4,2.62,36.814
"Earthquakes; North Anatolian Fault; Basin",TC.844,22,0.62,384.6,1.28,37.751
"Construction; Construction Industry; Project Management",TC.295,22,0.14,-86.2,0.82,85.007
"Vehicles; Accident Prevention; Highway Accidents",TC.315,22,0.15,-35.8,0.87,73.695
