Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Bergen"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Decay; Quarks; Neutrinos",TC.6,775,1.61,8.2,3.74,98.394
"Heart Arrest; Cardiopulmonary Resuscitation; Out-Of-Hospital Cardiac Arrest",TC.496,37,0.37,37.0,7.29,70.884
"Aerosols; Air Quality; Atmospheric Aerosols",TC.42,37,0.12,-23.1,2.68,97.59
"Breast Neoplasms; Genetic Testing; Risk",TC.587,37,0.37,23.7,2.8,80.991
"Seismic Waves; Seismology; Seismic Data",TC.371,37,0.23,97.7,0.68,51.138
"Bone And Bones; Osteoporosis; Bone Density",TC.45,36,0.13,-29.2,1.09,92.972
"Verification; Model Checking; Semantics",TC.96,36,0.15,-40.2,1.06,70.549
"Allergens; Hypersensitivity; Atopic Dermatitis",TC.116,36,0.18,19.5,1.95,90.629
"Hearing; Hearing Loss; Cochlear Implants",TC.66,36,0.15,-52.2,1.18,87.483
"Glioma; Neoplasms; Glioblastoma",TC.222,35,0.2,-62.1,2.49,86.546
"Smoking; Tobacco Products; Smoking Cessation",TC.205,35,0.19,43.2,1.6,89.826
"Depression; Bipolar Disorder; Major Depressive Disorder",TC.175,34,0.22,-47.7,1.38,88.688
"Visualization; Data Visualization; Flow Visualization",TC.936,34,0.52,38.1,1.74,50.402
"Knee; Osteoarthritis; Cartilage",TC.120,34,0.13,175.8,2.18,91.566
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,33,0.14,7.5,2.14,93.976
"Cells; Neoplasms; Hydrogels",TC.166,33,0.15,250.3,1.82,97.055
"Emigrants And Immigrants; Hispanic Americans; Acculturation",TC.646,33,0.39,-1.0,2.49,61.513
"Cells; Drosophila; Neoplasms",TC.110,33,0.14,33.8,1.68,94.645
"Radiotherapy; Radiation; Intensity-Modulated Radiotherapy",TC.322,32,0.24,206.8,1.01,71.017
"Thyroid Neoplasms; Thyroid Gland; Thyroidectomy",TC.76,32,0.14,131.8,1.62,89.357
"Solitons; Waves; Nonlinear Equations",TC.235,32,0.23,71.6,1.15,72.49
"Peptides; Proprotein Convertases; Aminopeptidases",TC.1240,32,1.59,-2.6,1.53,22.825
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,31,0.14,46.8,1.43,91.165
"Helicobacter Pylori; Gastroesophageal Reflux; Helicobacter Infections",TC.90,31,0.16,4.2,2.24,85.944
"Algorithms; Computer Graphics; Surfaces",TC.228,31,0.2,-68.4,0.64,61.178
"Hypertension; Blood Pressure; Patients",TC.157,31,0.19,63.8,1.84,82.932
"Language; Reading; Semantics",TC.88,31,0.13,268.1,1.25,89.491
"Women; Cesarean Section; Parturition",TC.397,31,0.26,158.2,2.73,67.202
"Governance; Government; Public Services",TC.611,31,0.39,-71.8,1.71,54.685
"Insulin; Insulin-Secreting Cells; Islets Of Langerhans",TC.331,31,0.32,11.8,1.92,82.062
"Criminals; Violence; Mental Health",TC.388,30,0.3,-85.8,1.43,63.32
"Positrons; Positron Annihilation Spectroscopy; Positronium",TC.1200,30,1.55,7.0,0.97,16.6
"Genome; Neoplasms; Genes",TC.436,30,0.21,27.9,4.28,94.043
"Phenylketonurias; Phenylalanine; Phenylalanine Hydroxylase",TC.1321,29,1.76,24.5,0.9,15.997
"DNA Methylation; Epigenomics; Neoplasms",TC.478,29,0.2,-16.1,3.49,91.968
"Nursing Homes; Long-Term Care; Caregivers",TC.482,29,0.34,5.2,1.09,57.095
"Accident Prevention; Accidents; Safety Engineering",TC.638,29,0.37,-44.3,0.92,54.284
"Carbon Capture; Shale; Storage (Materials)",TC.635,29,0.24,-23.8,1.22,80.254
"Combustion; Combustors; Ignition",TC.256,29,0.19,-86.9,0.9,87.55
"Delivery Of Health Care; Patients; Hospitals",TC.160,29,0.14,-30.4,1.2,86.078
"Ultrasonics; Elasticity Imaging Techniques; Ultrasonic Imaging",TC.428,29,0.25,-52.4,1.51,75.837
"Genome-Wide Association Study; Single Nucleotide Polymorphism; Genes",TC.592,29,0.29,155.4,5.62,84.203
"Stroke; Gait; Rehabilitation",TC.48,29,0.07,94.9,1.24,96.787
"Brain-Derived Neurotrophic Factor; Neurogenesis; Neurons",TC.161,29,0.19,134.3,1.84,89.692
"Psychotherapy; Counseling; Psychology",TC.311,28,0.29,16.6,1.33,53.949
"Students; Teaching; Education; E-Learning",TC.200,28,0.12,5.2,2.14,86.278
"Cambrian; Cretaceous; Ordovician",TC.44,28,0.24,-7.0,1.25,75.502
"Child; Malnutrition; Food",TC.934,28,0.53,105.2,0.64,55.489
"Prostatic Neoplasms; Prostate; Prostatectomy",TC.141,28,0.12,9.4,6.55,94.779
"India; Indian; Politics",TC.475,28,0.26,-92.3,0.74,34.137
"Science; Risks; Nanotechnology",TC.550,28,0.29,169.7,14.86,71.687
"Percutaneous Coronary Intervention; Patients; Myocardial Infarction",TC.53,28,0.09,-57.1,6.8,93.106
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,27,0.08,353.0,0.88,92.303
"Breast Neoplasms; Patients; Mammography",TC.89,26,0.1,-29.8,1.9,90.897
"Teacher; School; Education",TC.150,26,0.12,-8.9,1.34,74.967
"Waves; Water Waves; Wave Energy Conversion",TC.284,26,0.19,-33.4,1.51,75.77
"Tree Ring; Trees; Growth Rings",TC.370,26,0.28,252.0,3.86,85.676
"Pharmacists; Pharmaceutical Preparations; Pharmacy",TC.199,25,0.13,143.3,1.17,79.183
"Mitochondria; Mitochondrial DNA; Mutation",TC.320,25,0.22,34.8,1.4,88.554
"Vascular Endothelial Growth Factor A; Neoplasms; Endothelial Cells",TC.429,25,0.26,158.5,1.05,79.05
"Discharge; Plasma Applications; Plasma Jets",TC.184,25,0.16,507.6,1.11,83.534
"Breast Feeding; Mothers; Infant",TC.552,24,0.25,184.6,7.68,64.458
"Hepatocellular Carcinoma; Liver; Neoplasms",TC.182,24,0.12,274.6,2.88,86.011
"Attention; Brain; Learning",TC.10,24,0.05,-71.0,1.09,98.193
"North American Indians; Residence Characteristics; Health",TC.833,24,0.4,-33.1,0.8,54.953
"Pregnancy; Depression; Postpartum Depression",TC.1028,24,0.51,-57.8,2.55,57.631
"Celiac Disease; Glutens; Gluten-Free Diet",TC.919,24,0.45,164.2,4.05,64.592
"Electricity; Energy; Economics",TC.81,24,0.07,-14.4,3.59,98.594
"Planarians; Tardigrada; Platyhelminthes",TC.1350,24,1.62,0.0,3.19,22.624
"Care; Child; Child Welfare",TC.987,24,0.48,70.9,1.67,38.487
"Wounds And Injuries; Patients; Emergencies",TC.380,23,0.22,252.4,2.46,51.339
"Catalysis; Synthesis (Chemical); Catalysts",TC.4,23,0.04,9.0,1.41,99.799
"Infertility; Twins; Assisted Reproductive Techniques",TC.625,23,0.32,-80.3,2.04,52.142
"Aquifers; Groundwater Resources; Groundwater Flow",TC.282,23,0.2,74.1,1.03,80.187
"Birds; Nests; Seabirds",TC.41,23,0.11,-29.8,0.8,89.759
"Cleft Palate; Cleft Lip; Craniosynostoses",TC.582,23,0.32,425.7,1.81,39.625
"Verbs; Language; Semantics",TC.298,23,0.17,-2.4,0.68,28.179
"Mussels; Bivalvia; Oysters",TC.244,23,0.22,195.9,0.6,75.636
"Brain Injuries; Wounds And Injuries; Patients",TC.258,23,0.14,-68.2,0.84,87.015
"Sphingosine; Enzyme Replacement Therapy; Sphingolipids",TC.330,22,0.21,21.9,2.3,81.191
"Melanesia; Anthropology; Australia",TC.645,22,0.34,76.0,0.72,26.439
"Iron; Anemia; Erythropoietin",TC.238,22,0.16,-22.2,1.09,83.133
"Latin America; Bolivia; Ecuador",TC.828,22,0.33,71.4,1.41,32.062
"Pheochromocytoma; Paraganglioma; Hydrocortisone",TC.286,22,0.2,-24.1,2.32,69.344
"Aortic Valve; Mitral Valve; Aortic Valve Stenosis",TC.243,22,0.11,-9.5,1.47,86.814
"Monetary Policy; Economic Growth; Exports",TC.21,22,0.05,249.8,1.05,90.094
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,22,0.15,-21.9,2.35,78.581
"Family; Woman; Marriage",TC.500,22,0.28,-15.9,1.73,47.992
"Genome; Bacterial Typing Techniques; Vitamin K 2",TC.456,22,0.19,-43.6,1.16,80.656
"Neoplasms; Breast Neoplasms; Cells",TC.535,21,0.29,0.7,0.93,77.041
"Annelida; Polychaeta; Polychaete",TC.1238,21,1.46,265.7,0.73,8.032
"Chromatin; Histones; Epigenomics",TC.201,21,0.11,-63.8,5.18,96.653
"MicroRNAs; Long Untranslated RNA; Neoplasms",TC.219,21,0.05,305.9,2.53,99.398
"Hepacivirus; Hepatitis B Virus; Hepatitis C",TC.58,21,0.07,-1.1,5.01,95.448
"Harmonic Generations; Ultrashort Pulses; Laser Pulses",TC.386,21,0.18,38.6,0.68,70.616
"Medieval; Manuscripts; Old English",TC.365,21,0.29,233.3,0.6,2.544
"Rotavirus; Norovirus; Coronavirus",TC.403,21,0.19,95.6,1.81,81.66
"Annexins; Neoplasms; Proteins",TC.1451,21,0.96,-14.3,0.92,30.12
"Macroinvertebrates; Streams; Rivers",TC.430,21,0.33,-55.4,0.45,62.249
"Mesenchymal Stromal Cells; Stem Cells; Induced Pluripotent Stem Cells",TC.163,20,0.07,-36.8,1.72,97.657
"Design; Human Computer Interaction; Augmented Reality",TC.231,20,0.08,303.7,0.68,82.865
"Neolithic; Bronze Age; Iron Age",TC.354,20,0.32,68.6,1.42,20.348
"Estimator; Models; Variable Selection",TC.74,20,0.07,25.6,1.32,83.601
"Sports; Students; Athletes",TC.443,20,0.17,-52.4,1.49,73.293
"Ligands; Crystal Structure; Organometallics",TC.71,20,0.06,54.9,0.82,99.331
"Cryptography; Authentication; Data Privacy",TC.84,20,0.05,12.2,1.52,93.24
"Shoulder; Rotator Cuff; Tendons",TC.241,20,0.1,29.6,1.37,77.242
"Bile Acids And Salts; Autoimmune Hepatitis; Sclerosing Cholangitis",TC.729,20,0.38,-26.9,4.27,60.308
"Urinary Bladder; Overactive Urinary Bladder; Women",TC.117,19,0.09,-42.7,1.5,80.054
"Models; Social Networking (Online); Algorithms",TC.358,19,0.08,-26.9,1.26,89.023
"Pneumonia; Streptococcus Pneumoniae; Anti-Bacterial Agents",TC.159,19,0.12,239.1,3.53,82.798
"Bacillariophyta; Dinophyceae; Toxins",TC.334,19,0.21,-68.1,1.66,78.447
"Whales; Dolphins; Seals",TC.516,19,0.25,65.8,0.9,85.274
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,19,0.07,212.3,1.18,93.641
"Models; Risks; Finance",TC.54,18,0.05,-12.7,1.08,90.027
"Bariatric Surgery; Gastric Bypass; Obesity",TC.865,18,0.22,-69.8,29.83,71.486
"Sarcopenia; Patients; Aged",TC.782,18,0.18,-,1.47,82.129
"Sepsis; Acute Kidney Injury; Patients",TC.251,18,0.1,108.5,1.09,88.153
"Low-Level Laser Therapy; Lasers; Hyperhidrosis",TC.1108,18,0.48,451.1,2.38,32.329
"Leishmania; Visceral Leishmaniasis; Trypanosoma Cruzi",TC.261,18,0.16,90.4,0.74,77.376
"Eating Disorders; Anorexia Nervosa; Body Image",TC.364,18,0.14,-77.5,1.17,86.145
"Non-Small-Cell Lung Carcinoma; Lung Neoplasms; Patients",TC.124,18,0.06,-15.0,0.85,95.582
"Justice; Theory; Human Rights",TC.570,18,0.18,73.3,0.46,39.759
"Polymerization; Ethylene; Ligands",TC.360,18,0.31,-100.0,0.91,70.95
"Weightlessness; Space Flight; Manned Space Flight",TC.935,17,0.46,39.0,1.2,21.821
"Law; Court; Human Rights",TC.757,17,0.29,-47.2,3.5,22.959
"Lymphoma; Diffuse Large B-Cell Lymphoma; Patients",TC.62,17,0.06,-60.9,1.78,90.428
"Squamous Cell Carcinoma; Head And Neck Neoplasms; Carcinoma",TC.264,17,0.12,-62.1,1.26,76.841
"Patients; Percutaneous Nephrostomy; Kidney Calculi",TC.249,17,0.13,-36.4,0.85,61.379
"Eye; Optical Coherence Tomography; Macular Degeneration",TC.33,17,0.05,7.1,1.77,94.578
"Cholesterol; Lipids; Atherosclerosis",TC.79,17,0.07,458.0,1.35,94.444
"Coronary Artery Disease; Patients; Echocardiography",TC.268,17,0.13,-47.4,0.92,76.372
"Mental Health; Psychiatry; Depression",TC.661,17,0.21,70.7,0.74,61.847
"Neuroendocrine Tumors; Neoplasms; Neuroendocrine Carcinoma",TC.690,17,0.27,513.2,3.64,63.186
"Microtubules; Cilia; Phosphotransferases",TC.393,17,0.15,17.6,1.83,85.074
"Systems Engineering; Design; Models",TC.631,16,0.21,210.6,1.09,46.988
"Dengue; Viruses; Dengue Virus",TC.170,16,0.07,-,0.94,98.327
"Orthodontics; Malocclusion; Temporomandibular Joint",TC.236,16,0.11,49.5,1.03,63.989
"Earthquakes; Seismology; Seismic Response",TC.226,16,0.08,-60.5,0.98,79.786
"Photocatalysis; Photocatalysts; Solar Cells",TC.8,16,0.02,-,0.95,99.933
"Tourism; Tourists; Destination",TC.239,16,0.08,-45.4,1.17,85.743
"Patients; Psychiatry; Anxiety",TC.925,16,0.37,119.9,1.08,34.94
"Violence; Women; Child",TC.310,16,0.12,55.1,1.29,78.782
"Cryptosporidium; Giardia Lamblia; Parasites",TC.612,16,0.31,5.7,11.08,53.481
"Semantics; Models; Recommender Systems",TC.37,16,0.03,-68.7,0.72,96.319
"Cannabinoids; Cannabis; Endocannabinoids",TC.318,15,0.12,199.9,0.94,88.42
"Conflict; Peace; War",TC.489,15,0.14,-17.6,0.6,51.874
"Crabs; Decapoda; Lobsters",TC.328,15,0.25,-,0.62,45.582
"Neoplasms; Sarcoma; Bone And Bones",TC.193,15,0.09,-34.6,1.32,68.742
"Syndrome; Intellectual Disability; Genes",TC.441,15,0.19,16.8,1.23,55.823
"Disasters; Floods; Risks",TC.438,15,0.1,214.7,1.12,83.467
"Forest; Deforestation; Conservation",TC.663,15,0.17,160.5,1.29,75.1
"Hydrocephalus; Cerebrospinal Fluid; Patients",TC.416,15,0.18,133.5,2.83,45.515
"Inflammatory Bowel Diseases; Crohn Disease; Ulcerative Colitis",TC.276,15,0.1,-3.5,1.43,85.877
"Melanoma; Skin Neoplasms; Neoplasms",TC.233,15,0.09,-64.0,1.04,80.924
"Pentecostal; Pentecostalism; Religion",TC.1078,15,0.27,-,0.94,11.111
"Museums; Art; Culture",TC.759,15,0.19,312.3,7.43,39.357
"Education; Wages; Inequality",TC.657,15,0.18,305.9,1.4,59.973
"Zebrafish; Danio Rerio; Fishes",TC.1159,15,0.37,-10.2,2.73,55.087
"Hypersonic Aerodynamics; Hypersonic Flow; Reentry",TC.854,15,0.37,42.7,0.98,25.234
"Spinal Cord Injuries; Wheelchairs; Rehabilitation",TC.841,15,0.24,-42.6,22.99,52.677
"Earthquakes; North Anatolian Fault; Basin",TC.844,14,0.39,115.4,1.45,37.751
"Opioid Analgesics; Pain; Prescriptions",TC.510,14,0.14,-44.3,3.81,78.916
"Breast Neoplasms; Early Detection Of Cancer; Women",TC.595,14,0.15,43.1,1.15,75.033
"Morals; Research; Behavior",TC.267,14,0.08,131.4,2.42,88.019
"Catalysts; Zeolites; Hydrogenation",TC.7,14,0.03,164.9,0.81,99.732
"Agents; Game Theory; Models",TC.173,14,0.06,272.3,0.87,81.058
"Mercury; Mercury (Element); Methylmercury",TC.835,14,0.27,-32.1,1.69,65.863
"Ticks; Lyme Disease; Borrelia Burgdorferi",TC.269,14,0.12,-42.0,1.19,75.368
"Learning; Students; Education",TC.557,14,0.16,-70.8,0.66,50.937
"Africa; African; South Africa",TC.483,14,0.15,-58.6,0.54,34.337
"Underwater Acoustics; Sonar; Acoustic Fields",TC.1126,14,0.41,328.2,0.77,15.328
"Botswana; Rock Art; Southern Africa",TC.1190,14,0.51,-59.7,1.74,14.926
"Autophagy; Sirolimus; Neoplasms",TC.627,14,0.1,-,0.92,92.57
"Industry; Innovation; Entrepreneurship",TC.24,14,0.03,113.6,1.95,97.256
"Vowels; Language; Dialect",TC.418,14,0.15,36.2,3.11,35.274
"Grief; Bereavement; Death",TC.1167,14,0.36,-,0.71,32.262
"Planning; Governance; Community",TC.577,14,0.17,27.2,1.44,60.643
"Steroids; Athletes; Sports",TC.1066,14,0.44,-,1.34,43.039
"Arctic; Seas; Piracy",TC.938,14,0.31,-62.0,2.0,22.758
"Chronic Renal Insufficiency; Renal Dialysis; Dialysis",TC.221,14,0.09,65.3,1.79,81.995
"Exercise; Athletes; Muscles",TC.100,14,0.05,72.4,2.33,92.369
"Fixed Point; Fixed Point Theorem; Metric Space",TC.301,14,0.1,388.1,0.63,53.614
"Emergencies; Patients; Hospitals",TC.675,13,0.16,149.9,0.74,57.965
"Wind Turbines; Wind Power; Asynchronous Generators",TC.423,13,0.07,25.0,1.07,85.609
"RNA; Ribosomes; Proteins",TC.171,13,0.08,-,1.82,95.315
"Psychology; Well-Being; Happiness",TC.713,13,0.16,-43.4,0.7,65.663
"Nigeria; Africa; African",TC.513,13,0.15,-76.3,0.48,23.092
"Oxytocin; Hydrocortisone; Anxiety",TC.432,13,0.16,-78.4,0.8,82.664
"Software Engineering; Models; Software Design",TC.49,13,0.03,48.3,0.7,90.964
"DNA Repair; DNA Damage; Neoplasms",TC.104,13,0.07,37.1,0.71,93.574
"Cognitive Radio; MIMO Systems; Orthogonal Frequency Division Multiplexing",TC.3,13,0.02,-,0.32,97.523
"Polychlorinated Biphenyls; Organic Pollutants; Halogenated Diphenyl Ethers",TC.209,13,0.08,-,1.43,94.311
"Vaccination; Vaccines; Immunization",TC.367,13,0.13,-13.2,0.94,70.482
"Earthquakes; Messinian; Landslides",TC.626,13,0.34,-31.9,1.3,47.657
"Trigeminal Neuralgia; Acoustic Neuroma; Microvascular Decompression Surgery",TC.1118,13,0.39,35.3,2.13,14.123
"Offense; Police; Offender",TC.207,13,0.07,81.1,1.7,75.234
"Taste; Odors; Smell",TC.594,13,0.23,-3.0,0.71,64.123
"Mental Health; Homeless Persons; Mental Health Services",TC.499,13,0.17,183.9,0.61,53.28
"Transplants; Tissue Donors; Kidney Transplantation",TC.98,13,0.06,3.4,0.7,83.333
"Aquaporins; Epithelial Sodium Channels; Taurine",TC.347,13,0.19,5.9,1.63,64.525
"Heart Diseases; Patients; Congenital Heart Defects",TC.266,13,0.09,310.6,6.81,64.726
"Religion; Church; Religious",TC.809,13,0.21,-25.2,1.66,12.182
"Research; Data; Information Dissemination",TC.1257,13,0.23,-38.6,0.94,66.867
"Hyaluronic Acid; Neoplasms; Glycosaminoglycans",TC.644,12,0.2,-67.0,1.39,70.214
"Abdominal Aortic Aneurysm; Aneurysm; Dissection",TC.287,12,0.09,-0.1,0.87,60.843
"Alcohols; Ethanol; Alcohol Drinking",TC.433,12,0.18,486.3,1.25,67.269
"Artificial Intelligence; Algorithms; Semantics",TC.411,12,0.11,-65.2,2.09,52.878
"Artificial Respiration; Adult Respiratory Distress Syndrome; Noninvasive Ventilation",TC.382,12,0.12,32.0,1.3,71.218
